Pos.,No.,Driver,Team,Time,Grid
1,5,Johnny Cecotto Jr.,Arden International,1:21.141,1
2,6,Mitch Evans,Arden International,1:21.157,2
3,11,Sam Bird,Russian Time,1:21.509,3
4,8,Fabio Leimer,Racing Engineering,1:21.185,4
5,21,Kevin Ceccon,Trident Racing,1:21.986,5
6,10,Jolyon Palmer,Carlin,1:21.198,6
7,7,Julián Leal,Racing Engineering,1:22.092,7
8,12,Tom Dillmann,Russian Time,1:21.387,8
9,9,Felipe Nasr,Carlin,1:22.163,9
10,22,Robin Frijns,Hilmer Motorsport,1:21.418,10
11,1,Marcus Ericsson,DAMS,1:22.349,11
12,14,Sergio Canamasas,Caterham Racing,1:21.522,12
13,15,Alexander Rossi,Caterham Racing,1:22.511,13
14,18,Stefano Coletti,Rapax,1:21.658,14
15,17,Rio Haryanto,Barwa Addax Team,1:22.589,25
16,20,Nathanaël Berthon,Trident Racing,1:22.245,15
17,3,James Calado,ART Grand Prix,1:22.677,16
18,2,Stéphane Richelmi,DAMS,1:22.317,17
19,27,Daniël de Jong,MP Motorsport,1:22.943,18
20,24,René Binder,Venezuela GP Lazarus,1:22.376,22
21,25,Kevin Giovesi,Venezuela GP Lazarus,1:23.006,19
22,4,Daniel Abt,ART Grand Prix,1:22.716,20
23,19,Simon Trummer,Rapax,1:23.017,21
24,16,Jake Rosenzweig,Barwa Addax Team,1:22.842,23
25,23,Jon Lancaster,Hilmer Motorsport,1:23.443,24
26,26,Adrian Quaife-Hobbs,MP Motorsport,1:23.328,26
