Pos.,No.,Driver,Team,Time,Grid
1,2,Stephane Richelmi,DAMS,1:38.487,1
2,1,Marcus Ericsson,DAMS,1:38.763,2
3,22,Robin Frijns,Hilmer Motorsport,1:38.804,3
4,6,Mitch Evans,Arden International,1:38.848,4
5,9,Felipe Nasr,Carlin,1:38.897,5
6,8,Fabio Leimer,Racing Engineering,1:38.997,6
7,26,Adrian Quaife-Hobbs,MP Motorsport,1:39.006,7
8,3,James Calado,ART Grand Prix,1:39.018,8
9,11,Sam Bird,Russian Time,1:39.089,9
10,12,Tom Dillmann,Russian Time,1:39.186,10
11,10,Jolyon Palmer,Carlin,1:39.193,11
12,24,Rene Binder,Venezuela GP Lazarus,1:39.243,12
13,18,Stefano Coletti,Rapax,1:39.274,13
14,15,Alexander Rossi,Caterham Racing,1:39.320,14
15,25,Fabrizio Crestani,Venezuela GP Lazarus,1:39.374,15
16,23,Jon Lancaster,Hilmer Motorsport,1:39.379,16
17,14,Sergio Canamasas,Caterham Racing,1:39.465,17
18,27,Daniel de Jong,MP Motorsport,1:39.503,18
19,5,Johnny Cecotto Jr.,Arden International,1:39.723,19
20,17,Rio Haryanto,Barwa Addax Team,1:39.780,20
21,20,Nathanael Berthon,Trident Racing,1:39.792,21
22,4,Daniel Abt,ART Grand Prix,1:39.813,22
23,21,Kevin Ceccon,Trident Racing,1:39.786,23
24,7,Julián Leal,Racing Engineering,1:39.986,24
25,16,Jake Rosenzweig,Barwa Addax Team,1:39.064,25
26,19,Simon Trummer,Rapax,1:39.311,26
