Pos.,No.,Driver,Team,Time,Grid
1,11,Sam Bird,Russian Time,1:56.957,1
2,8,Fabio Leimer,Racing Engineering,1:57.156,2
3,3,James Calado,ART Grand Prix,1:57.404,3
4,1,Marcus Ericsson,DAMS,1:57.538,4
5,15,Alexander Rossi,Caterham Racing,1:57.578,5
6,20,Nathanael Berthon,Trident Racing,1:57.588,6
7,10,Jolyon Palmer,Carlin,1:57.691,7
8,2,Stephane Richelmi,DAMS,1:57.802,8
9,14,Sergio Canamasas,Caterham Racing,1:57.804,19
10,9,Felipe Nasr,Carlin,1:57.839,9
11,23,Robin Frijns,Hilmer Motorsport,1:57.881,10
12,7,Julián Leal,Racing Engineering,1:57.924,11
13,12,Tom Dillmann,Russian Time,1:57.950,12
14,6,Mitch Evans,Arden International,1:58.271,13
15,19,Simon Trummer,Rapax,1:58.384,14
16,26,Dani Clos,MP Motorsport,1:58.385,15
17,5,Johnny Cecotto Jr.,Arden International,1:58.419,16
18,17,Rio Haryanto,Barwa Addax Team,1:58.463,17
19,22,Adrian Quaife-Hobbs,Hilmer Motorsport,1:58.534,18
20,18,Stefano Coletti,Rapax,1:58.618,20
21,27,Daniel de Jong,MP Motorsport,1:58.789,21
22,24,Rene Binder,Venezuela GP Lazarus,1:58.803,22
23,25,Vittorio Ghirelli,Venezuela GP Lazarus,1:58.831,23
24,4,Daniel Abt,ART Grand Prix,1:59.022,24
25,16,Jake Rosenzweig,Barwa Addax Team,1:59.253,25
26,21,Ricardo Teixeira,Trident Racing,2:17.528,26
