Pos.,No.,Driver,Team,Time,Grid
1,1,Marcus Ericsson,DAMS,1:28.706,1
2,2,Stéphane Richelmi,DAMS,1:28.871,2
3,9,Felipe Nasr,Carlin,1:29.152,3
4,11,Sam Bird,Russian Time,1:29.188,4
5,18,Stefano Coletti,Rapax,1:29.213,5
6,8,Fabio Leimer,Racing Engineering,1:29.293,6
7,3,James Calado,ART Grand Prix,1:29.318,7
8,22,Robin Frijns,Hilmer Motorsport,1:29.321,8
9,21,Kevin Ceccon,Trident Racing,1:29.424,9
10,25,Kevin Giovesi,Venezuela GP Lazarus,1:29.425,10
11,10,Jolyon Palmer,Carlin,1:29.609,11
12,4,Daniel Abt,ART Grand Prix,1:29.668,12
13,14,Sergio Canamasas,Caterham Racing,1:29.685,13
14,12,Tom Dillmann,Russian Time,1:29.739,14
15,23,Jon Lancaster,Hilmer Motorsport,1:29.759,15
16,16,Jake Rosenzweig,Barwa Addax Team,1:29.792,16
17,15,Alexander Rossi,Caterham Racing,1:29.804,17
18,7,Julián Leal,Racing Engineering,1:29.824,18
19,6,Mitch Evans,Arden International,1:29.936,19
20,24,René Binder,Venezuela GP Lazarus,1:29.956,20
21,20,Nathanaël Berthon,Trident Racing,1:29.969,21
22,17,Rio Haryanto,Barwa Addax Team,1:30.020,22
23,5,Johnny Cecotto Jr.,Arden International,1:30.025,23
24,19,Simon Trummer,Rapax,1:30.025,24
25,26,Adrian Quaife-Hobbs,MP Motorsport,1:30.763,25
26,27,Daniël de Jong,MP Motorsport,1:30.773,26
