Pos.,No.,Driver,Team,Time,Grid
1,1,Marcus Ericsson,DAMS,1:40.716,1
2,11,Sam Bird,Russian Time,1:41.087,2
3,9,Felipe Nasr,Carlin,1:41.144,3
4,18,Stefano Coletti,Rapax,1:41.219,4
5,2,Stéphane Richelmi,DAMS,1:41.411,5
6,8,Fabio Leimer,Racing Engineering,1:41.442,6
7,17,Rio Haryanto,Barwa Addax Team,1:41.537,7
8,6,Mitch Evans,Arden International,1:41.563,8
9,12,Tom Dillmann,Russian Time,1:41.633,9
10,3,James Calado,ART Grand Prix,1:41.662,10
11,7,Julián Leal,Racing Engineering,1:41.765,11
12,25,Fabrizio Crestani,Venezuela GP Lazarus,1:41.771,12
13,20,Nathanaël Berthon,Trident Racing,1:41.812,13
14,14,Sergio Canamasas,EQ8 Caterham Racing,1:41.881,14
15,21,Kevin Ceccon,Trident Racing,1:41.890,15
16,22,Robin Frijns,Hilmer Motorsport,1:41.970,16
17,23,Jon Lancaster,Hilmer Motorsport,1:41.978,17
18,5,Johnny Cecotto Jr.,Arden International,1:42.013,18
19,15,Alexander Rossi,EQ8 Caterham Racing,1:42.020,19
20,10,Jolyon Palmer,Carlin,1:42.207,20
21,19,Simon Trummer,Rapax,1:42.213,21
22,24,René Binder,Venezuela GP Lazarus,1:42.376,22
23,16,Jake Rosenzweig,Barwa Addax Team,1:42.402,23
24,26,Adrian Quaife-Hobbs,MP Motorsport,1:42.658,24
25,4,Daniel Abt,ART Grand Prix,1:42.687,25
26,27,Daniël de Jong,MP Motorsport,1:42.862,26
