Pos.,No.,Driver,Team,Time,Grid
1,15,Alexander Rossi,Caterham Racing,1:48.931,1
2,11,Sam Bird,Russian Time,1:49.241,2
3,10,Jolyon Palmer,Carlin,1:49.376,3
4,8,Fabio Leimer,Racing Engineering,1:49.485,4
5,12,Tom Dillmann,Russian Time,1:49.672,5
6,5,Johnny Cecotto Jr.,Arden International,1:49.680,6
7,23,Jon Lancaster,Hilmer Motorsport,1:49.827,7
8,9,Felipe Nasr,Carlin,1:49.829,8
9,2,Stephane Richelmi,DAMS,1:49.835,9
10,26,Dani Clos,MP Motorsport,1:49.846,10
11,6,Mitch Evans,Arden International,1:49.864,11
12,1,Marcus Ericsson,DAMS,1:49.910,12
13,14,Sergio Canamasas,Caterham Racing,1:49.951,13
14,3,James Calado,ART Grand Prix,1:50.002,19
15,17,Rio Haryanto,Barwa Addax Team,1:50.334,14
16,20,Nathanaël Berthon,Trident Racing,1:50.446,15
17,22,Adrian Quaife-Hobbs,Hilmer Motorsport,1:50.510,16
18,18,Stefano Coletti,Rapax,1:50.534,17
19,7,Julián Leal,Racing Engineering,1:50.553,19
20,19,Simon Trummer,Rapax,1:50.634,20
21,16,Jake Rosenzweig,Barwa Addax Team,1:50.809,21
22,24,Rene Binder,Venezuela GP Lazarus,1:50.884,22
23,27,Daniel de Jong,MP Motorsport,1:50.906,23
24,4,Daniel Abt,ART Grand Prix,1:50.907,25
25,25,Vittorio Ghirelli,Venezuela GP Lazarus,1:51.493,24
26,21,Gianmarco Raimondo,Trident Racing,1:52.311,26
