Pos.,No.,Driver,Team,Time,Grid
1,8,Fabio Leimer,Racing Engineering,1:39.427,1
2,1,Marcus Ericsson,DAMS,1:40.420,2
3,9,Felipe Nasr,Carlin,1:40.520,3
4,18,Stefano Coletti,Rapax,1:40.585,4
5,12,Tom Dillmann,Russian Time,1:40.689,5
6,2,Stéphane Richelmi,DAMS,1:40.704,6
7,15,Alexander Rossi,Caterham Racing,1:40.756,7
8,26,Adrian Quaife-Hobbs,MP Motorsport,1:40.769,8
9,11,Sam Bird,Russian Time,1:40.842,9
10,22,Robin Frijns,Hilmer Motorsport,1:40.865,10
11,3,James Calado,ART Grand Prix,1:40.878,21
12,19,Simon Trummer,Rapax,1:40.892,11
13,10,Jolyon Palmer,Carlin,1:41.033,12
14,5,Johnny Cecotto Jr.,Arden International,1:41.043,13
15,4,Daniel Abt,ART Grand Prix,1:41.070,14
16,14,Sergio Canamasas,Caterham Racing,1:41.229,26
17,25,Kevin Giovesi,Venezuela GP Lazarus,1:41.236,19
18,6,Mitch Evans,Arden International,1:41.237,15
19,21,Kevin Ceccon,Trident Racing,1:41.243,16
20,7,Julián Leal,Racing Engineering,1:41.504,17
21,24,René Binder,Venezuela GP Lazarus,1:41.553,18
22,16,Jake Rosenzweig,Barwa Addax Team,1:41.687,20
23,20,Nathanaël Berthon,Trident Racing,1:41.730,22
24,23,Pål Varhaug,Hilmer Motorsport,1:41.980,23
25,17,Rio Haryanto,Barwa Addax Team,1:41.981,24
26,27,Daniël de Jong,MP Motorsport,1:42.284,25
