Team,No.,Driver,Rounds
Alfa Romeo Racing Orlen,7,Kimi Räikkönen,"1–13, 15–22"
Alfa Romeo Racing Orlen,88,Robert Kubica,13–14
Alfa Romeo Racing Orlen,99,Antonio Giovinazzi,All
Scuderia AlphaTauri Honda,10,Pierre Gasly,All
Scuderia AlphaTauri Honda,22,Yuki Tsunoda,All
Alpine F1 Team,14,Fernando Alonso,All
Alpine F1 Team,31,Esteban Ocon,All
Aston Martin Cognizant F1 Team,5,Sebastian Vettel,All
Aston Martin Cognizant F1 Team,18,Lance Stroll,All
Scuderia Ferrari Mission Winnow,16,Charles Leclerc,All
Scuderia Ferrari Mission Winnow,55,Carlos Sainz Jr.,All
Uralkali Haas F1 Team,9,Nikita Mazepin,All
Uralkali Haas F1 Team,47,Mick Schumacher,All
McLaren F1 Team,3,Daniel Ricciardo,All
McLaren F1 Team,4,Lando Norris,All
Mercedes-AMG Petronas F1 Team,44,Lewis Hamilton,All
Mercedes-AMG Petronas F1 Team,77,Valtteri Bottas,All
Red Bull Racing Honda,11,Sergio Pérez,All
Red Bull Racing Honda,33,Max Verstappen,All
Williams Racing,6,Nicholas Latifi,All
Williams Racing,63,George Russell,All
