Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Callum Ilott,UNI-Virtuosi,1:31.929,,1
2,7,Yuki Tsunoda,Carlin,1:31.959,+0.030,2
3,25,Luca Ghiotto,Hitech Grand Prix,1:32.127,+0.198,3
4,6,Christian Lundgaard,ART Grand Prix,1:32.200,+0.271,4
5,22,Roy Nissany,Trident,1:32.226,+0.297,5
6,24,Nikita Mazepin,Hitech Grand Prix,1:32.267,+0.338,6
7,20,Mick Schumacher,Prema Racing,1:32.277,+0.348,7
8,8,Jehan Daruvala,Carlin,1:32.308,+0.379,8
9,11,Louis Delétraz,Charouz Racing System,1:32.342,+0.413,9
10,2,Dan Ticktum,DAMS,1:32.373,+0.444,10
11,1,Jüri Vips,DAMS,1:32.381,+0.452,11
12,15,Felipe Drugovich,MP Motorsport,1:32.412,+0.483,12
13,14,Nobuharu Matsushita,MP Motorsport,1:32.420,+0.491,13
14,23,Marino Sato,Trident,1:32.534,+0.605,14
15,5,Marcus Armstrong,ART Grand Prix,1:32.592,+0.663,15
16,21,Robert Shwartzman,Prema Racing,1:32.597,+0.668,16
17,3,Guanyu Zhou,UNI-Virtuosi,1:32.602,+0.673,17
18,12,Pedro Piquet,Charouz Racing System,1:32.610,+0.681,18
19,9,Jack Aitken,Campos Racing,1:32.623,+0.694,19
20,17,Giuliano Alesi,BWT HWA Racelab,1:32.626,+0.697,20
21,16,Artem Markelov,BWT HWA Racelab,1:33.311,+1.382,21
22,10,Guilherme Samaia,Campos Racing,1:33.501,+1.572,22
