Pos.,No.,Driver,Team,Time,Gap,Grid
1,7,Yuki Tsunoda,Carlin,1:02.676,,1
2,24,Nikita Mazepin,Hitech Grand Prix,1:02.798,+0.122,2
3,8,Jehan Daruvala,Carlin,1:02.807,+0.131,3
4,21,Robert Shwartzman,Prema Racing,1:02.822,+0.146,4
5,15,Felipe Drugovich,MP Motorsport,1:02.841,+0.165,5
6,6,Christian Lundgaard,ART Grand Prix,1:02.849,+0.173,6
7,16,Artem Markelov,BWT HWA Racelab,1:02.947,+0.271,7
8,2,Dan Ticktum,DAMS,1:02.954,+0.278,8
9,4,Callum Ilott,UNI-Virtuosi,1:03.014,+0.338,9
10,11,Louis Delétraz,Charouz Racing System,1:03.062,+0.386,10
11,3,Guanyu Zhou,UNI-Virtuosi,1:03.075,+0.399,11
12,23,Marino Sato,Trident,1:03.116,+0.440,12
13,12,Pedro Piquet,Charouz Racing System,1:03.147,+0.471,13
14,25,Luca Ghiotto,Hitech Grand Prix,1:03.166,+0.490,14
15,5,Marcus Armstrong,ART Grand Prix,1:03.169,+0.493,15
16,14,Giuliano Alesi,MP Motorsport,1:03.194,+0.518,16
17,17,Théo Pourchaire,BWT HWA Racelab,1:03.228,+0.552,17
18,20,Mick Schumacher,Prema Racing,1:03.270,+0.594,18
19,22,Roy Nissany,Trident,1:03.317,+0.641,19
20,9,Ralph Boschung,Campos Racing,1:03.403,+0.727,20
21,10,Guilherme Samaia,Campos Racing,1:03.552,+0.876,21
22,1,Sean Gelael,DAMS,1:03.738,+1.062,22
