Pos.,No.,Driver,Team,Time,Gap,Grid
1,15,Felipe Drugovich,MP Motorsport,1:39.527,,1
2,4,Callum Ilott,UNI-Virtuosi,1:39.666,+0.139,2
3,20,Mick Schumacher,Prema Racing,1:39.761,+0.234,3
4,6,Christian Lundgaard,ART Grand Prix,1:39.846,+0.319,4
5,24,Nikita Mazepin,Hitech Grand Prix,1:39.963,+0.436,5
6,9,Jack Aitken,Campos Racing,1:40.082,+0.555,6
7,8,Jehan Daruvala,Carlin,1:40.140,+0.613,7
8,3,Guanyu Zhou,UNI-Virtuosi,1:40.180,+0.653,8
9,7,Yuki Tsunoda,Carlin,1:40.216,+0.689,9
10,11,Louis Delétraz,Charouz Racing System,1:40.324,+0.797,10
11,14,Nobuharu Matsushita,MP Motorsport,1:40.347,+0.820,11
12,2,Dan Ticktum,DAMS,1:40.396,+0.869,12
13,25,Luca Ghiotto,Hitech Grand Prix,1:40.421,+0.894,13
14,12,Pedro Piquet,Charouz Racing System,1:40.443,+0.916,14
15,5,Marcus Armstrong,ART Grand Prix,1:40.448,+0.921,15
16,1,Sean Gelael,DAMS,1:40.476,+0.949,16
17,23,Marino Sato,Trident,1:40.958,+1.431,17
18,21,Robert Shwartzman,Prema Racing,1:41.047,+1.520,18
19,22,Roy Nissany,Trident,1:41.052,+1.525,19
20,17,Giuliano Alesi,HWA Racelab,1:41.274,+1.747,20
21,16,Artem Markelov,HWA Racelab,1:41.342,+1.815,21
22,10,Guilherme Samaia,Campos Racing,1:42.204,+2.677,22
