Pos.,No.,Driver,Team,Time,Gap,Grid
1,4,Callum Ilott,UNI-Virtuosi,1:50.767,,1
2,25,Luca Ghiotto,Hitech Grand Prix,1:51.075,+0.308,2
3,3,Guanyu Zhou,UNI-Virtuosi,1:51.290,+0.523,3
4,2,Dan Ticktum,DAMS,1:51.379,+0.612,4
5,20,Mick Schumacher,Prema Racing,1:51.584,+0.817,5
6,6,Christian Lundgaard,ART Grand Prix,1:51.729,+0.962,6
7,5,Marcus Armstrong,ART Grand Prix,1:51.962,+1.195,7
8,9,Jack Aitken,Campos Racing,1:52.496,+1.729,8
9,1,Sean Gelael,DAMS,1:52.500,+1.733,9
10,17,Giuliano Alesi,BWT HWA Racelab,1:52.567,+1.800,10
11,21,Robert Shwartzman,Prema Racing,1:52.715,+1.948,11
12,11,Louis Delétraz,Charouz Racing System,1:52.729,+1.962,12
13,12,Pedro Piquet,Charouz Racing System,1:52.870,+2.103,13
14,7,Yuki Tsunoda,Carlin,1:53.215,+2.448,14
15,8,Jehan Daruvala,Carlin,1:53.288,+2.521,15
16,24,Nikita Mazepin,Hitech Grand Prix,1:53.462,+2.695,16
17,16,Artem Markelov,BWT HWA Racelab,1:53.569,+2.802,17
18,15,Felipe Drugovich,MP Motorsport,1:53.583,+2.816,18
19,23,Marino Sato,Trident,1:53.658,+2.891,20
20,22,Roy Nissany,Trident,1:54.736,+3.969,21
21,14,Nobuharu Matsushita,MP Motorsport,1:55.869,+5.102,19
NC,10,Guilherme Samaia,Campos Racing,No time,,22
