Pos.,No.,Driver,Team,Time,Grid
1,3,Zak O'Sullivan,Prema Racing,1:31.091,1
2,2,Dino Beganovic,Prema Racing,1:31.494,2
3,4,Leonardo Fornaroli,Trident,1:31.597,3
4,10,Franco Colapinto,MP Motorsport,1:31.626,4
5,6,Oliver Goethe,Trident,1:31.706,5
6,1,Paul Aron,Prema Racing,1:31.744,6
7,9,Nikola Tsolov,ART Grand Prix,1:31.809,10
8,12,Jonny Edgar,MP Motorsport,1:31.857,7
9,5,Gabriel Bortoleto,Trident,1:31.876,8
10,24,Christian Mansell,Campos Racing,1:31.880,9
11,26,Nikita Bedrin,Jenzer Motorsport,1:32.121,11
12,15,Gabriele Minì,Hitech Pulse-Eight,1:32.163,12
13,23,Pepe Martí,Campos Racing,1:32.173,13
14,8,Grégoire Saucy,ART Grand Prix,1:32.182,14
15,11,Mari Boya,MP Motorsport,1:32.187,15
16,7,Kaylen Frederick,ART Grand Prix,1:32.268,16
17,27,Taylor Barnard,Jenzer Motorsport,1:32.315,17
18,16,Luke Browning,Hitech Pulse-Eight,1:32.325,18
19,17,Caio Collet,Van Amersfoort Racing,1:32.463,24
20,18,Rafael Villagómez,Van Amersfoort Racing,1:32.724,25
21,14,Sebastián Montoya,Hitech Pulse-Eight,1:32.778,19
22,25,Hugh Barter,Campos Racing,1:32.905,20
23,22,Ido Cohen,Rodin Carlin,1:33.168,21
24,19,Tommy Smith,Van Amersfoort Racing,1:33.594,29
25,21,Max Esterson,Rodin Carlin,1:33.897,22
26,28,Alex García,Jenzer Motorsport,1:34.415,23
27,31,Woohyun Shin,PHM RacingbyCharouz,1:34.523,26
28,29,Sophia Flörsch,PHM RacingbyCharouz,1:34.766,27
29,30,Roberto Faria,PHM RacingbyCharouz,1:34.967,28
—,20,Oliver Gray,Rodin Carlin,2:07.975,30
