Pos.,No.,Driver,Team,Time,Grid
1,11,Luke Browning,Hitech Pulse-Eight,2:05.435,1
2,9,Gabriele Minì,SJM TheodorePrema Racing,2:05.441,2
3,8,Dino Beganovic,SJM TheodorePrema Racing,2:05.518,3
4,12,Isack Hadjar,Hitech Pulse-Eight,2:05.557,4
5,29,Marcus Armstrong,MP Motorsport,2:05.732,5
6,14,Alex Dunne,Hitech Pulse-Eight,2:05.755,6
7,17,Oliver Goethe,Campos Racing,2:06.092,7
8,27,Dennis Hauger,MP Motorsport,2:06.643,8
9,3,Ugo Ugochukwu,Trident Motorsport,2:06.167,9
10,28,Mari Boya,MP Motorsport,2:06.192,10
11,15,Pepe Martí,Campos Racing,2:06.264,11
12,1,Richard Verschoor,Trident Motorsport,2:06.323,12
13,25,Dan Ticktum,Rodin Carlin,2:06.460,13
14,10,Paul Aron,SJM TheodorePrema Racing,2:06.475,14
15,23,Nikola Tsolov,ART Grand Prix,—,15
16,24,Zane Maloney,Rodin Carlin,2:06.789,16
17,19,Sophia Flörsch,Van Amersfoort Racing,2:06.912,17
18,6,Charlie Wurz,Jenzer Motorsport,2:07.219,18
19,18,Noel León,Van Amersfoort Racing,2:07.504,19
20,2,Roman Staněk,Trident Motorsport,2:07.433,20
21,5,Max Esterson,Jenzer Motorsport,2:07.507,21
22,21,Laurens van Hoepen,ART Grand Prix,2:07.540,22
23,16,Sebastián Montoya,Campos Racing,2:07.656,23
24,22,Christian Mansell,ART Grand Prix,2:08.049,24
25,7,Matías Zagazeta,Jenzer Motorsport,2:08.489,25
26,20,Tommy Smith,Van Amersfoort Racing,2:10.226,26
