Pos.,No.,Driver,Team,Time,Grid
1,23,Pepe Martí,Campos Racing,1:27.587,1
2,27,Taylor Barnard,Jenzer Motorsport,1:27.837,2
3,10,Franco Colapinto,MP Motorsport,1:27.864,3
4,2,Dino Beganovic,Prema Racing,1:27.930,4
5,1,Paul Aron,Prema Racing,1:27.934,5
6,5,Gabriel Bortoleto,Trident,1:28.005,6
7,14,Sebastián Montoya,Hitech Pulse-Eight,1:28.072,7
8,11,Mari Boya,MP Motorsport,1:28.082,8
9,4,Leonardo Fornaroli,Trident,1:28.087,9
10,8,Grégoire Saucy,ART Grand Prix,1:28.105,10
11,16,Luke Browning,Hitech Pulse-Eight,1:28.141,11
12,3,Zak O'Sullivan,Prema Racing,1:28.189,12
13,6,Oliver Goethe,Trident,1:28.198,13
14,26,Nikita Bedrin,Jenzer Motorsport,1:28.256,14
15,25,Hugh Barter,Campos Racing,1:28.324,15
16,24,Christian Mansell,Campos Racing,1:28.324,16
17,12,Jonny Edgar,MP Motorsport,1:28.486,17
18,15,Gabriele Minì,Hitech Pulse-Eight,1:28.524,18
19,9,Nikola Tsolov,ART Grand Prix,1:28.612,19
20,17,Caio Collet,Van Amersfoort Racing,1:28.624,20
21,7,Kaylen Frederick,ART Grand Prix,1:28.847,21
22,19,Tommy Smith,Van Amersfoort Racing,1:28.874,22
23,20,Oliver Gray,Rodin Carlin,1:28.909,23
24,18,Rafael Villagómez,Van Amersfoort Racing,1:29.018,24
25,28,Alex García,Jenzer Motorsport,1:29.230,25
26,31,Piotr Wiśnicki,PHM RacingbyCharouz,1:29.365,26
27,29,Sophia Flörsch,PHM RacingbyCharouz,1:29.488,27
28,30,Roberto Faria,PHM RacingbyCharouz,1:29.601,28
29,22,Ido Cohen,Rodin Carlin,1:29.617,29
30,21,Hunter Yeany,Rodin Carlin,1:29.716,30
