Pos.,No.,Driver,Team,Time,Grid
1,15,Gabriele Minì,Hitech Pulse-Eight,1:23.278,1
2,2,Dino Beganovic,Prema Racing,1:23.880,2
3,1,Paul Aron,Prema Racing,1:24.152,3
4,16,Luke Browning,Hitech Pulse-Eight,1:23.883,4
5,17,Caio Collet,Van Amersfoort Racing,1:24.357,5
6,14,Sebastián Montoya,Hitech Pulse-Eight,1:24.122,6
7,5,Gabriel Bortoleto,Trident,1:24.679,7
8,10,Franco Colapinto,MP Motorsport,1:24.242,8
9,27,Taylor Barnard,Jenzer Motorsport,1:24.763,9
10,4,Leonardo Fornaroli,Trident,1:25.264,10
11,23,Pepe Martí,Campos Racing,1:24.770,11
12,8,Grégoire Saucy,ART Grand Prix,1:25.456,12
13,3,Zak O'Sullivan,Prema Racing,1:24.873,13
14,26,Nikita Bedrin,Jenzer Motorsport,1:25.742,14
15,9,Nikola Tsolov,ART Grand Prix,1:24.911,15
16,12,Jonny Edgar,MP Motorsport,1:25.749,16
17,11,Mari Boya,MP Motorsport,1:25.123,17
18,6,Oliver Goethe,Trident,1:25.870,18
19,19,Tommy Smith,Van Amersfoort Racing,1:25.158,19
20,24,Christian Mansell,Campos Racing,1:26.055,20
21,25,Hugh Barter,Campos Racing,1:25.267,21
22,18,Rafael Villagómez,Van Amersfoort Racing,1:26.141,22
23,7,Kaylen Frederick,ART Grand Prix,1:25.888,23
24,20,Oliver Gray,Rodin Carlin,1:26.542,24
25,31,Piotr Wiśnicki,PHM RacingbyCharouz,1:26.040,25
26,22,Ido Cohen,Rodin Carlin,1:27.041,26
27,21,Hunter Yeany,Rodin Carlin,1:26.303,27
28,28,Alex García,Jenzer Motorsport,1:27.147,28
29,29,Sophia Flörsch,PHM RacingbyCharouz,1:26.390,29
30,30,Roberto Faria,PHM RacingbyCharouz,1:29.556,30
