Pos.,No.,Driver,Team,Time,Grid
1,6,Oliver Goethe,Trident,1:38.909,1
2,17,Caio Collet,Van Amersfoort Racing,1:39.001,2
3,1,Paul Aron,Prema Racing,1:39.043,3
4,12,Jonny Edgar,MP Motorsport,1:39.137,4
5,5,Gabriel Bortoleto,Trident,1:39.261,5
6,3,Zak O'Sullivan,Prema Racing,1:39.319,6
7,4,Leonardo Fornaroli,Trident,1:39.340,7
8,27,Taylor Barnard,Jenzer Motorsport,1:39.573,8
9,9,Nikola Tsolov,ART Grand Prix,1:39.580,9
10,8,Grégoire Saucy,ART Grand Prix,1:39.601,10
11,11,Mari Boya,MP Motorsport,1:39.784,11
12,10,Franco Colapinto,MP Motorsport,1:39.879,12
13,23,Pepe Martí,Campos Racing,1:40.114,13
14,24,Christian Mansell,Campos Racing,1:40.176,14
15,19,Tommy Smith,Van Amersfoort Racing,1:40.203,15
16,7,Kaylen Frederick,ART Grand Prix,1:40.211,16
17,18,Rafael Villagómez,Van Amersfoort Racing,1:40.640,17
18,29,Sophia Flörsch,PHM RacingbyCharouz,1:41.195,18
19,31,Woohyun Shin,PHM RacingbyCharouz,1:41.239,22
20,25,Joshua Dufek,Campos Racing,1:41.419,19
21,28,Alex García,Jenzer Motorsport,1:41.422,20
22,30,Roberto Faria,PHM RacingbyCharouz,1:42.511,21
—,2,Dino Beganovic,Prema Racing,No time set,23
—,26,Nikita Bedrin,Jenzer Motorsport,No time set,24
—,20,Oliver Gray,Rodin Carlin,No time set,25
DSQ,15,Gabriele Minì,Hitech Pulse Eight,Disqualified,26
DSQ,16,Luke Browning,Hitech Pulse Eight,Disqualified,27
DSQ,14,Sebastián Montoya,Hitech Pulse Eight,Disqualified,28
DSQ,22,Ido Cohen,Rodin Carlin,Disqualified,29
DSQ,21,Francesco Simonazzi,Rodin Carlin,Disqualified,30
