Pos.,No.,Driver,Team,Time,Grid
1,4,Leonardo Fornaroli,Trident,1:45.520,1
2,6,Oliver Goethe,Trident,1:45.646,2
3,23,Pepe Martí,Campos Racing,1:45.874,3
4,24,Christian Mansell,Campos Racing,1:45.909,4
5,5,Gabriel Bortoleto,Trident,1:45.910,5
6,1,Paul Aron,Prema Racing,1:45.945,6
7,15,Gabriele Minì,Hitech Pulse-Eight,1:46.040,7
8,16,Luke Browning,Hitech Pulse-Eight,1:46.046,8
9,10,Franco Colapinto,MP Motorsport,1:46.064,9
10,27,Taylor Barnard,Jenzer Motorsport,1:46.155,10
11,12,Jonny Edgar,MP Motorsport,1:46.169,11
12,14,Sebastián Montoya,Hitech Pulse-Eight,1:46.249,12
13,8,Grégoire Saucy,ART Grand Prix,1:46.270,13
14,25,Hugh Barter,Campos Racing,1:46.277,14
15,3,Zak O'Sullivan,Prema Racing,1:46.332,15
16,11,Mari Boya,MP Motorsport,1:46.346,16
17,17,Caio Collet,Van Amersfoort Racing,1:46.468,17
18,7,Kaylen Frederick,ART Grand Prix,1:46.620,18
19,26,Nikita Bedrin,Jenzer Motorsport,1:46.732,19
20,31,McKenzy Cresswell,PHM RacingbyCharouz,1:46.906,20
21,18,Rafael Villagómez,Van Amersfoort Racing,1:46.971,21
22,19,Tommy Smith,Van Amersfoort Racing,1:47.037,22
23,9,Nikola Tsolov,ART Grand Prix,1:47.054,23
24,21,Max Esterson,Rodin Carlin,1:47.107,24
25,20,Oliver Gray,Rodin Carlin,1:47.270,25
26,22,Ido Cohen,Rodin Carlin,1:47.447,26
27,28,Alex García,Jenzer Motorsport,1:47.560,27
28,29,Sophia Flörsch,PHM RacingbyCharouz,1:47.613,28
29,30,Roberto Faria,PHM RacingbyCharouz,1:47.778,29
—,2,Dino Beganovic,Prema Racing,1:45.520,30
