Pos.,No.,Driver,Team,Time,Grid
1,23,Pepe Martí,Campos Racing,2:22.160,1
2,4,Leonardo Fornaroli,Trident,2:22.176,2
3,15,Gabriele Minì,Hitech Pulse-Eight,2:22.254,8
4,10,Franco Colapinto,MP Motorsport,2:22.402,3
5,9,Nikola Tsolov,ART Grand Prix,2:22.517,4
6,3,Zak O'Sullivan,Prema Racing,2:22.551,5
7,2,Dino Beganovic,Prema Racing,2:22.722,6
8,12,Jonny Edgar,MP Motorsport,2:22.739,7
9,17,Caio Collet,Van Amersfoort Racing,2:22.792,9
10,27,Taylor Barnard,Jenzer Motorsport,2:22.816,10
11,1,Paul Aron,Prema Racing,2:22.942,11
12,25,Hugh Barter,Campos Racing,2:23.104,12
13,16,Luke Browning,Hitech Pulse-Eight,2:23.143,13
14,11,Mari Boya,MP Motorsport,2:23.175,14
15,5,Gabriel Bortoleto,Trident,2:23.251,15
16,8,Grégoire Saucy,ART Grand Prix,2:23.345,16
17,7,Kaylen Frederick,ART Grand Prix,2:23.435,17
18,26,Nikita Bedrin,Jenzer Motorsport,2:23.914,18
19,18,Rafael Villagómez,Van Amersfoort Racing,2:23.945,19
20,19,Tommy Smith,Van Amersfoort Racing,2:23.975,20
21,14,Sebastián Montoya,Hitech Pulse-Eight,2:24.006,21
22,28,Alex García,Jenzer Motorsport,2:24.276,22
23,24,Christian Mansell,Campos Racing,2:24.334,23
24,29,Sophia Flörsch,PHM RacingbyCharouz,2:24.952,24
25,20,Oliver Gray,Rodin Carlin,2:25.019,25
26,22,Ido Cohen,Rodin Carlin,2:25.732,26
27,6,Oliver Goethe,Trident,2:26.138,27
28,31,Woohyun Shin,PHM RacingbyCharouz,2:26.320,28
29,21,Francesco Simonazzi,Rodin Carlin,2:26.367,29
30,30,Roberto Faria,PHM RacingbyCharouz,2:26.810,30
