Pos.,No.,Driver,Team,Time,Grid
1,5,Gabriel Bortoleto,Trident,1:33.025,1
2,8,Grégoire Saucy,ART Grand Prix,1:33.196,2
3,15,Gabriele Minì,Hitech Pulse-Eight,1:33.307,3
4,4,Leonardo Fornaroli,Trident,1:33.370,4
5,3,Zak O'Sullivan,Prema Racing,1:33.373,5
6,1,Paul Aron,Prema Racing,1:33.408,6
7,10,Franco Colapinto,MP Motorsport,1:33.588,7
8,2,Dino Beganovic,Prema Racing,1:33.604,8
9,16,Luke Browning,Hitech Pulse-Eight,1:33.765,9
10,17,Caio Collet,Van Amersfoort Racing,1:33.876,10
11,6,Oliver Goethe,Trident,1:34.017,11
12,14,Sebastián Montoya,Hitech Pulse-Eight,1:34.094,12
13,24,Christian Mansell,Campos Racing,1:34.227,13
14,12,Jonny Edgar,MP Motorsport,1:34.276,14
15,9,Nikola Tsolov,ART Grand Prix,1:34.290,15
16,11,Mari Boya,MP Motorsport,1:34.326,16
17,7,Kaylen Frederick,ART Grand Prix,1:34.364,17
18,27,Taylor Barnard,Jenzer Motorsport,1:34.394,18
19,18,Rafael Villagómez,Van Amersfoort Racing,1:34.546,19
20,26,Nikita Bedrin,Jenzer Motorsport,1:34.768,20
21,20,Oliver Gray,Rodin Carlin,1:35.102,21
22,25,Hugh Barter,Campos Racing,1:35.133,22
23,22,Ido Cohen,Rodin Carlin,1:35.359,28
24,29,Sophia Flörsch,PHM RacingbyCharouz,1:35.519,23
25,30,Roberto Faria,PHM RacingbyCharouz,1:35.688,24
26,21,Hunter Yeany,Rodin Carlin,1:35.780,25
27,31,Piotr Wiśnicki,PHM RacingbyCharouz,1:36.019,26
28,19,Tommy Smith,Van Amersfoort Racing,1:36.314,27
29,28,Alex García,Jenzer Motorsport,1:36.596,29
—,23,Pepe Martí,Campos Racing,No time set,30
