Pos.,No.,Driver,Team,Time,Grid
1,2,Alex Lynn,DAMS,1:28.022,1
2,5,Stoffel Vandoorne,ART Grand Prix,1:28.041,2
3,14,Arthur Pic,Campos Racing,1:28.154,3
4,11,Raffaele Marciello,Trident,1:28.272,4
5,1,Pierre Gasly,DAMS,1:28.361,5
6,7,Jordan King,Racing Engineering,1:28.471,6
7,15,Rio Haryanto,Campos Racing,1:28.538,7
8,9,Mitch Evans,Russian Time,1:28.608,8
9,18,Sergey Sirotkin,Rapax,1:28.685,9
10,24,Nick Yelloly,Hilmer Motorsport,1:28.782,10
11,8,Alexander Rossi,Racing Engineering,1:28.807,11
12,16,Nicholas Latifi,MP Motorsport,1:28.940,12
13,20,André Negrão,Arden International,1:28.957,13
14,23,Richie Stanaway,Status Grand Prix,1:29.038,14
15,19,Robert Vișoiu,Rapax,1:29.079,15
16,17,Daniël de Jong,MP Motorsport,1:29.128,16
17,10,Artem Markelov,Russian Time,1:29.198,17
18,26,Nathanaël Berthon,Team Lazarus,1:29.234,18
19,25,Sergio Canamasas,Hilmer Motorsport,1:29.315,19
20,3,Julián Leal,Carlin,1:29.351,20
21,6,Nobuharu Matsushita,ART Grand Prix,1:29.635,21
22,21,Norman Nato,Arden International,1:29.641,22
23,22,Marlon Stöckinger,Status Grand Prix,1:29.665,23
24,4,Sean Gelael,Carlin,1:29.803,24
25,12,René Binder,Trident,1:29.811,25
—,27,Zoël Amberg,Team Lazarus,No Time,26
