Pos.,No.,Driver,Team,Time,Grid
1,5,Stoffel Vandoorne,ART Grand Prix,1:39.237,1
2,6,Nobuharu Matsushita,ART Grand Prix,1:39.545,2
3,2,Alex Lynn,DAMS,1:39.599,3
4,14,Arthur Pic,Campos Racing,1:39.630,4
5,11,Raffaele Marciello,Trident,1:39.645,5
6,7,Jordan King,Racing Engineering,1:39.770,6
7,21,Norman Nato,Arden International,1:39.857,7
8,8,Alexander Rossi,Racing Engineering,1:39.872,8
9,1,Pierre Gasly,DAMS,1:39.877,9
10,18,Sergey Sirotkin,Rapax,1:39.887,9
11,10,Artem Markelov,Russian Time,1:39.955,10
12,15,Rio Haryanto,Campos Racing,1:39.961,12
13,9,Mitch Evans,Russian Time,1:39.999,13
14,19,Robert Vișoiu,Rapax,1:40.128,14
15,23,Richie Stanaway,Status Grand Prix,1:40.251,15
16,3,Julián Leal,Carlin,1:40.353,16
17,16,Sergio Canamasas,MP Motorsport,1:40.434,17
18,4,Marco Sørensen,Carlin,1:40.444,18
19,20,André Negrão,Arden International,1:40.634,19
20,17,Daniël de Jong,MP Motorsport,1:40.653,20
21,26,Nathanaël Berthon,Lazarus,1:40.654,21
22,12,René Binder,Trident,1:40.773,22
23,22,Marlon Stöckinger,Status Grand Prix,1:40.995,23
24,27,Zoël Amberg,Lazarus,1:41.690,24
