Pos.,No.,Driver,Team,Time,Grid
1,1,Pierre Gasly,DAMS,1:39.572,1
2,5,Stoffel Vandoorne,ART Grand Prix,1:39.612,2
3,11,Raffaele Marciello,Trident,1:39.648,3
4,2,Alex Lynn,DAMS,1:39.661,4
5,7,Jordan King,Racing Engineering,1:39.902,5
6,21,Norman Nato,Arden International,1:40.004,6
7,9,Mitch Evans,Russian Time,1:40.027,7
8,6,Nobuharu Matsushita,ART Grand Prix,1:40.079,8
9,8,Alexander Rossi,Racing Engineering,1:40.141,9
10,14,Arthur Pic,Campos Racing,1:40.176,10
11,15,Rio Haryanto,Campos Racing,1:40.212,11
12,10,Artem Markelov,Russian Time,1:40.354,12
13,12,René Binder,MP Motorsport,1:40.367,13
14,18,Sergey Sirotkin,Rapax,1:40.539,14
15,26,Nathanaël Berthon,Daiko Team Lazarus,1:40.571,15
16,27,Sergio Canamasas,Daiko Team Lazarus,1:40.588,16
17,22,Marlon Stöckinger,Status Grand Prix,1:40.650,17
18,23,Oliver Rowland,Status Grand Prix,1:40.720,18
19,3,Dean Stoneman,Carlin,1:41.106,19
20,16,Nicholas Latifi,MP Motorsport,1:41.145,20
21,12,Daniël de Jong,Trident,1:41.208,21
22,20,André Negrão,Arden International,1:41.432,22
23,19,Gustav Malja,Rapax,1:41.775,23
24,4,Sean Gelael,Carlin,1:42.840,24
