Pos.,No.,Driver,Team,Time,Grid
1,5,Stoffel Vandoorne,ART Grand Prix,1:56.278,1
2,16,Oliver Rowland,MP Motorsport,1:56.425,2
3,18,Sergey Sirotkin,Rapax,1:56.513,3
4,7,Jordan King,Racing Engineering,1:56.625,4
5,6,Nobuharu Matsushita,ART Grand Prix,1:56.659,5
6,9,Mitch Evans,Russian Time,1:56.661,6
7,1,Pierre Gasly,DAMS,1:56.701,7
8,8,Alexander Rossi,Racing Engineering,1:56.845,8
9,2,Alex Lynn,DAMS,1:56.985,9
10,21,Norman Nato,Arden International,1:57.019,10
11,15,Rio Haryanto,Campos Racing,1:57.143,11
12,11,Raffaele Marciello,Trident,1:57.218,12
13,19,Robert Vișoiu,Rapax,1:57.273,13
14,14,Arthur Pic,Campos Racing,1:57.275,14
15,24,Nick Yelloly,Hilmer Motorsport,1:57.328,15
16,3,Julián Leal,Carlin,1:57.440,16
17,23,Richie Stanaway,Status Grand Prix,1:57.528,17
18,27,Sergio Canamasas,Daiko Team Lazarus,1:57.560,18
19,26,Nathanaël Berthon,Daiko Team Lazarus,1:57.615,19
20,20,André Negrão,Arden International,1:57.661,20
21,17,Daniël de Jong,MP Motorsport,1:57.746,21
22,10,Artem Markelov,Russian Time,1:57.809,22
23,22,Marlon Stöckinger,Status Grand Prix,1:58.136,23
24,12,Gustav Malja,Trident,1:58.371,24
25,4,Sean Gelael,Carlin,1:58.402,25
