Pos.,No.,Driver,Team,Time,Grid
1,2,Alex Lynn,DAMS,2:01.840,1
2,5,Stoffel Vandoorne,ART Grand Prix,2:01.878,2
3,8,Alexander Rossi,Racing Engineering,2:02.141,3
4,1,Pierre Gasly,DAMS,2:02.385,4
5,14,Arthur Pic,Campos Racing,2:02.450,5
6,12,Johnny Cecotto Jr.,Trident,2:02.690,6
7,11,Raffaele Marciello,Trident,2:02.709,7
8,23,Richie Stanaway,Status Grand Prix,2:02.998,8
9,21,Norman Nato,Arden International,2:03.133,9
10,18,Sergey Sirotkin,Rapax,2:03.223,10
11,20,André Negrão,Arden International,2:03.382,11
12,6,Nobuharu Matsushita,ART Grand Prix,2:03.519,12
13,15,Rio Haryanto,Campos Racing,2:03.523,13
14,7,Jordan King,Racing Engineering,2:03.622,19
15,16,Nicholas Latifi,MP Motorsport,2:03.731,14
16,22,Marlon Stöckinger,Status Grand Prix,2:03.751,15
17,10,Artem Markelov,Russian Time,2:04.004,16
18,9,Mitch Evans,Russian Time,2:04.072,17
19,3,Dean Stoneman,Carlin,2:04.093,18
20,26,Nathanaël Berthon,Daiko Team Lazarus,2:04.658,20
21,17,René Binder,MP Motorsport,2:04.994,21
22,27,Sergio Canamasas,Daiko Team Lazarus,2:04.998,22
23,19,Robert Vișoiu,Rapax,2:05.784,24
24,4,Sean Gelael,Carlin,2:08.361,23
