Pos.,No.,Driver,Team,Time,Grid
1,5,Stoffel Vandoorne,ART Grand Prix,1:14.174,1
2,6,Nobuharu Matsushita,ART Grand Prix,1:14.263,2
3,1,Pierre Gasly,DAMS,1:14.300,3
4,18,Sergey Sirotkin,Rapax,1:14.434,4
5,15,Rio Haryanto,Campos Racing,1:14.481,5
6,11,Raffaele Marciello,Rapax,1:14.483,6
7,24,Nick Yelloly,Hilmer Motorsport,1:14.538,7
8,7,Jordan King,Racing Engineering,1:14.574,8
9,14,Arthur Pic,Campos Racing,1:14.650,9
10,2,Alex Lynn,DAMS,1:14.818,10
11,9,Mitch Evans,Russian Time,1:14.861,11
12,8,Alexander Rossi,Racing Engineering,1:14.881,12
13,3,Julián Leal,Carlin,1:14.893,13
14,23,Richie Stanaway,Status Grand Prix,1:14.922,14
15,10,Artem Markelov,Russian Time,1:14.978,15
16,21,Norman Nato,Arden International,1:14.996,16
17,12,Rene Binder,Trident,1:15.030,17
18,17,Daniël de Jong,MP Motorsport,1:15.207,18
19,19,Robert Visoiu,Rapax,1:15.396,19
20,22,Marlon Stöckinger,Status Grand Prix,1:15.434,20
21,20,André Negrão,Arden International,1:15.537,21
22,26,Nathanaël Berthon,Team Lazarus,1:30.609,22
23,4,Marco Sørensen,Carlin,1:15.853,23
24,25,Simon Trummer,Hilmer Motorsport,1:16.159,24
