Team,No.,Driver,Rounds
Lotus GP,1,Daniel Abt,All
Lotus GP,2,Conor Daly,All
Lotus GP,3,Aaro Vainio,All
MW Arden,4,Mitch Evans,All
MW Arden,5,David Fumanelli,All
MW Arden,6,Matias Laine,All
Marussia Manor Racing,7,Dmitry Suranovich,All
Marussia Manor Racing,8,Fabiano Machado,All
Marussia Manor Racing,9,Tio Ellinas,All
Status Grand Prix,14,Marlon Stöckinger,All
Status Grand Prix,15,Kotaro Sakurai,"1–2, 4"
Status Grand Prix,15,Lewis Williamson,5–8
Status Grand Prix,16,Alice Powell,All
Ocean Racing Technology,17,Carmen Jordá,All
Ocean Racing Technology,18,Kevin Ceccon,All
Ocean Racing Technology,19,Robert Cregan,All
Jenzer Motorsport,20,Robert Vișoiu,All
Jenzer Motorsport,21,Patric Niederhauser,All
Jenzer Motorsport,22,Jakub Klášterka,1–2
Jenzer Motorsport,22,Facu Regalia,4
Jenzer Motorsport,22,Alex Fontana,6–7
Trident Racing,23,Vicky Piria,All
Trident Racing,24,Antonio Spavone,1–4
Trident Racing,25,Giovanni Venturini,4–8
Carlin,26,Alex Brundle,All
Carlin,27,António Félix da Costa,All
Carlin,28,William Buller,All
Atech CRS GP,29,Tamás Pál Kiss,All
Atech CRS GP,30,John Wartique,"1–3, 7–8"
Atech CRS GP,30,Fabio Gamberini,4
Atech CRS GP,30,Facu Regalia,6
Atech CRS GP,31,Ethan Ringel,All
