Entrant,No.,Driver name,Rounds
Prema Racing,1,Paul Aron,All
Prema Racing,2,Dino Beganovic,All
Prema Racing,3,Zak O'Sullivan,All
Trident,4,Leonardo Fornaroli,All
Trident,5,Gabriel Bortoleto,All
Trident,6,Oliver Goethe,All
ART Grand Prix,7,Kaylen Frederick,All
ART Grand Prix,8,Grégoire Saucy,All
ART Grand Prix,9,Nikola Tsolov,All
MP Motorsport,10,Franco Colapinto,All
MP Motorsport,11,Mari Boya,All
MP Motorsport,12,Jonny Edgar,All
Hitech Pulse-Eight,14,Sebastián Montoya,All
Hitech Pulse-Eight,15,Gabriele Minì,All
Hitech Pulse-Eight,16,Luke Browning,All
Van Amersfoort Racing,17,Caio Collet,All
Van Amersfoort Racing,18,Rafael Villagómez,All
Van Amersfoort Racing,19,Tommy Smith,All
Rodin Carlin,20,Oliver Gray,All
Rodin Carlin,21,Hunter Yeany,1–5
Rodin Carlin,Max Esterson,6–7,
Rodin Carlin,Francesco Simonazzi,8–9,
Rodin Carlin,22,Ido Cohen,All
Campos Racing,23,Pepe Martí,All
Campos Racing,24,Christian Mansell[a],All
Campos Racing,25,Hugh Barter,1–8
Campos Racing,Joshua Dufek,9,
Jenzer Motorsport,26,Nikita Bedrin[b],All
Jenzer Motorsport,27,Taylor Barnard,All
Jenzer Motorsport,28,Alex García,All
PHM RacingbyCharouz,29,Sophia Flörsch,All
PHM RacingbyCharouz,30,Roberto Faria,All
PHM RacingbyCharouz,31,Piotr Wiśnicki,1–4
PHM RacingbyCharouz,McKenzy Cresswell,5–6,
PHM RacingbyCharouz,Michael Shin,7–9,
