Pos.,No.,Driver,Team,Time,Grid
1,1,Leonardo Fornaroli,Invicta Racing,1:44.008,1
2,14,Victor Martins,ART Grand Prix,1:44.163,2
3,7,Luke Browning,HitechTGR,1:44.292,3
4,17,Alexander Dunne,Rodin Motorsport,1:44.324,4
5,2,Roman Staněk,Invicta Racing,1:44.555,5
6,6,Richard Verschoor,MP Motorsport,1:44.611,6
7,22,Sami Meguetounif,Trident,1:44.709,7
8,25,Rafael Villagómez,Van Amersfoort Racing,1:44.746,8
9,8,Dino Beganovic,HitechTGR,1:44.765,9
10,20,Joshua Dürksen,AIX Racing,1:44.802,10
11,3,Pepe Martí,Campos Racing,1:44.831,11
12,10,Gabriele Minì,Prema Racing,1:44.839,12
13,24,John Bennett,Van Amersfoort Racing,1:44.866,13
14,11,Jak Crawford,DAMS,1:44.937,14
15,5,Oliver Goethe,MP Motorsport,1:44.963,15
16,4,Arvid Lindblad,Campos Racing,1:44.975,16
17,23,Max Esterson,Trident,1:44.986,17
18,9,Sebastián Montoya,Prema Racing,1:45.051,18
19,15,Ritomo Miyata,ART Grand Prix,1:45.152,19
20,12,Kush Maini,DAMS,1:45.263,20
21,16,Amaury Cordeel,Rodin Motorsport,1:45.960,21
22,21,Cian Shields,AIX Racing,1:46.056,22
