Pos.,No.,Driver,Team,Time,Grid
1,17,Alex Dunne,Rodin Motorsport,1:57.151,1
2,15,Ritomo Miyata,ART Grand Prix,1:57.570,2
3,2,Roman Staněk,Invicta Racing,1:57.576,3
4,14,Victor Martins,ART Grand Prix,1:57.588,4
5,4,Arvid Lindblad,Campos Racing,1:57.674,5
6,3,Pepe Martí,Campos Racing,1:57.699,6
7,1,Leonardo Fornaroli,Invicta Racing,1:57.712,7
8,10,Gabriele Minì,Prema Racing,1:57.785,8
9,16,Amaury Cordeel,Rodin Motorsport,1:57.867,9
10,5,Oliver Goethe,MP Motorsport,1:57.893,10
11,6,Richard Verschoor,MP Motorsport,1:57.996,11
12,7,Luke Browning,HitechTGR,1:58.042,12
13,8,Dino Beganovic,HitechTGR,1:58.168,13
14,11,Jak Crawford,DAMS Lucas Oil,1:58.202,14
15,24,John Bennett,Van Amersfoort Racing,1:58.346,15
16,9,Sebastián Montoya,Prema Racing,1:58.354,16
17,23,Max Esterson,Trident,1:58.470,17
18,25,Rafael Villagómez,Van Amersfoort Racing,1:58.527,18
19,22,Sami Meguetounif,Trident,1:58.567,19
20,12,Kush Maini,DAMS Lucas Oil,1:58.603,20
21,20,Joshua Dürksen,AIX Racing,1:58.675,21
22,21,Cian Shields,AIX Racing,1:59.513,22
