Pos.,No.,Driver,Team,Time,Grid
1,8,Dino Beganovic,HitechTGR,1:27.418,1
2,9,Sebastián Montoya,Prema Racing,1:27.421,2
3,14,Victor Martins,ART Grand Prix,1:27.424,3
4,1,Leonardo Fornaroli,Invicta Racing,1:27.702,4
5,17,Alex Dunne,Rodin Motorsport,1:27.806,5
6,4,Arvid Lindblad,Campos Racing,1:27.815,6
7,7,Luke Browning,HitechTGR,1:27.827,7
8,5,Oliver Goethe,MP Motorsport,1:27.950,8
9,11,Jak Crawford,DAMS Lucas Oil,1:28.043,9
10,15,Ritomo Miyata,ART Grand Prix,1:28.108,10
11,3,Pepe Martí,Campos Racing,1:28.220,11
12,2,Roman Staněk,Invicta Racing,1:28.237,12
13,12,Kush Maini,DAMS Lucas Oil,1:28.245,13
14,20,Joshua Dürksen,AIX Racing,1:28.260,14
15,10,Gabriele Minì,Prema Racing,1:28.304,15
16,22,Sami Meguetounif,Trident,1:28.543,16
17,25,Rafael Villagómez,Van Amersfoort Racing,1:28.618,17
18,23,Max Esterson,Trident,1:28.672,18
19,6,Richard Verschoor,MP Motorsport,1:28.680,19
20,16,Amaury Cordeel,Rodin Motorsport,1:28.830,20
21,24,John Bennett,Van Amersfoort Racing,1:28.876,21
22,21,Cian Shields,AIX Racing,1:29.534,22
