Pos.,No.,Driver,Team,Time,Grid
1,17,Alex Dunne,Rodin Motorsport,1:21.142,1
2,14,Victor Martins,ART Grand Prix,1:21.145,2
3,1,Leonardo Fornaroli,Invicta Racing,1:21.688,3
4,6,Richard Verschoor,MP Motorsport,1:21.520,4
5,9,Sebastián Montoya,Prema Racing,1:21.740,5
6,4,Arvid Lindblad,Campos Racing,1:21.543,6
7,11,Jak Crawford,DAMS Lucas Oil,1:21.759,7
8,10,Gabriele Minì,Prema Racing,1:21.581,8
9,7,Luke Browning,HitechTGR,1:21.817,9
10,12,Kush Maini,DAMS Lucas Oil,1:21.678,10
11,15,Ritomo Miyata,ART Grand Prix,1:22.179,11
12,20,Joshua Dürksen,AIX Racing,1:21.790,12
13,5,Oliver Goethe,MP Motorsport,1:22.345,13
14,2,Roman Staněk,Invicta Racing,1:21.909,14
15,3,Pepe Martí,Campos Racing,1:22.454,15
16,16,Amaury Cordeel,Rodin Motorsport,1:22.221,16
17,23,Max Esterson,Trident,1:22.646,17
18,8,Dino Beganovic,HitechTGR,1:22.299,18
19,21,Cian Shields,AIX Racing,1:24.442,19
20,22,Sami Meguetounif,Trident,1:22.330,20
21,25,Rafael Villagómez,Van Amersfoort Racing,No time,22
22,24,John Bennett,Van Amersfoort Racing,1:22.987,21
