Pos.,No.,Driver,Team,Time,Grid
1,2,Roman Staněk,Invicta Racing,1:28.779,1
2,1,Leonardo Fornaroli,Invicta Racing,1:28.925,2
3,11,Jak Crawford,DAMS Lucas Oil,1:28.952,3
4,7,Luke Browning,HitechTGR,1:29.029,4
5,20,Joshua Dürksen,AIX Racing,1:29.092,5
6,5,Oliver Goethe,MP Motorsport,1:29.137,6
7,14,Victor Martins,ART Grand Prix,1:29.153,7
8,4,Arvid Lindblad,Campos Racing,1:29.213,8
9,17,Alex Dunne,Rodin Motorsport,1:29.246,9
10,3,Pepe Martí,Campos Racing,1:29.301,10
11,6,Richard Verschoor,MP Motorsport,1:29.357,11
12,10,Gabriele Minì,Prema Racing,1:29.404,12
13,16,Amaury Cordeel,Rodin Motorsport,1:29.419,13
14,8,Dino Beganovic,HitechTGR,1:29.508,14
15,24,John Bennett,Van Amersfoort Racing,1:29.603,15
16,25,Rafael Villagómez,Van Amersfoort Racing,1:29.606,16
17,15,Ritomo Miyata,ART Grand Prix,1:29.695,17
18,9,Sebastián Montoya,Prema Racing,1:29.766,21
19,22,Sami Meguetounif,Trident,1:29.802,18
20,12,Kush Maini,DAMS Lucas Oil,1:29.926,19
21,23,Max Esterson,Trident,1:29.971,20
22,21,Cian Shields,AIX Racing,1:30.734,22
