Pos.,No.,Driver,Team,Time,Grid
1,11,Jak Crawford,DAMS Lucas Oil,1:43.579,1
2,14,Victor Martins,ART Grand Prix,1:43.601,2
3,1,Leonardo Fornaroli,Invicta Racing,1:43.671,3
4,7,Luke Browning,HitechTGR,1:43.737,4
5,4,Arvid Lindblad,Campos Racing,1:43.743,5
6,17,Alex Dunne,Rodin Motorsport,1:43.801,6
7,3,Pepe Martí,Campos Racing,1:43.831,7
8,10,Gabriele Minì,Prema Racing,1:43.842,8
9,6,Richard Verschoor,MP Motorsport,1:43.916,9
10,2,Roman Staněk,Invicta Racing,1:43.979,13
11,5,Oliver Goethe,MP Motorsport,1:44.086,10
12,12,Kush Maini,DAMS,1:44.153,11
13,8,Dino Beganovic,HitechTGR,1:44.161,12
14,16,Amaury Cordeel,Rodin Motorsport,1:44.194,14
15,22,Sami Meguetounif,Trident,1:44.265,15
16,15,Ritomo Miyata,ART Grand Prix,1:44.460,16
17,9,Sebastián Montoya,Prema Racing,1:44.531,17
18,20,Joshua Dürksen,AIX Racing,1:44.543,18
19,23,Max Esterson,Trident,1:44.906,19
20,25,Rafael Villagómez,Van Amersfoort Racing,1:44.965,20
21,21,Cian Shields,AIX Racing,1:45.683,21
22,24,John Bennett,Van Amersfoort Racing,1:46.008,22
