Pos.,No.,Driver,Team,Time,Grid
1,7,Luke Browning,HitechTGR,1:32.390,1
2,12,Kush Maini,DAMS Lucas Oil,1:32.708,2
3,2,Roman Staněk,Invicta Racing,1:32.754,3
4,5,Oliver Goethe,MP Motorsport,1:32.817,4
5,17,Alex Dunne,Rodin Motorsport,1:32.851,5
6,4,Arvid Lindblad,Campos Racing,1:32.881,6
7,20,Joshua Dürksen,AIX Racing,1:32.963,7
8,1,Leonardo Fornaroli,Invicta Racing,1:32.993,8
9,22,Sami Meguetounif,Trident,1:32.997,9
10,8,Dino Beganovic,HitechTGR,1:33.019,10
11,11,Jak Crawford,DAMS Lucas Oil,1:33.064,11
12,14,Victor Martins,ART Grand Prix,1:33.069,12
13,3,Pepe Martí,Campos Racing,1:33.148,13
14,6,Richard Verschoor,MP Motorsport,1:33.175,14
15,10,Gabriele Minì,Prema Racing,1:33.195,15
16,25,Rafael Villagómez,Van Amersfoort Racing,1:33.246,16
17,24,John Bennett,Van Amersfoort Racing,1:33.558,17
18,15,Ritomo Miyata,ART Grand Prix,1:33.572,18
19,21,Cian Shields,AIX Racing,1:33.593,19
20,16,Amaury Cordeel,Rodin Motorsport,1:33.667,20
—,23,Max Esterson,Trident,1:39.952,22
—,9,Sebastián Montoya,Prema Racing,1:45.473,21
