Pos.,No.,Driver,Team,Time,Grid
1,11,Jak Crawford,DAMS Lucas Oil,1:54.791,1
2,1,Leonardo Fornaroli,Invicta Racing,1:54.810,2
3,10,Gabriele Minì,Prema Racing,1:55.190,3
4,17,Alex Dunne,Rodin Motorsport,1:55.569,4
5,7,Luke Browning,HitechTGR,1:55.569,5
6,3,Pepe Martí,Campos Racing,1:55.576,6
7,23,Martinius Stenshorne,Trident,1:55.638,7
8,9,Sebastián Montoya,Prema Racing,1:55.809,8
9,8,Dino Beganovic,HitechTGR,1:55.919,9
10,25,Rafael Villagómez,Van Amersfoort Racing,1:55.932,10
11,6,Richard Verschoor,MP Motorsport,1:55.983,11
12,2,Roman Staněk,Invicta Racing,1:55.985,17
13,14,Victor Martins,ART Grand Prix,1:56.178,12
14,20,Joshua Dürksen,AIX Racing,1:56.191,15
15,24,John Bennett,Van Amersfoort Racing,1:56.354,13
16,12,Kush Maini,DAMS Lucas Oil,1:56.490,19
17,4,Arvid Lindblad,Campos Racing,1:56.627,14
18,5,Oliver Goethe,MP Motorsport,1:56.686,16
19,15,Ritomo Miyata,ART Grand Prix,1:57.166,18
20,22,Laurens van Hoepen,Trident,1:57.304,20
21,21,Cian Shields,AIX Racing,1:57.650,21
—,16,Amaury Cordeel,Rodin Motorsport,No time,22
