Pos.,No.,Driver,Team,Time,Grid
1,14,Victor Martins,ART Grand Prix,1:39.731,1
2,17,Alex Dunne,Rodin Motorsport,1:39.796,2
3,11,Jak Crawford,DAMS Lucas Oil,1:39.971,3
4,2,Roman Staněk,Invicta Racing,1:40.065,4
5,9,Sebastián Montoya,Prema Racing,1:40.138,5
6,20,Joshua Dürksen,AIX Racing,1:40.169,6
7,6,Richard Verschoor,MP Motorsport,1:40.326,7
8,8,Dino Beganovic,HitechTGR,1:40.337,8
9,12,Kush Maini,DAMS Lucas Oil,1:40.380,9
10,1,Leonardo Fornaroli,Invicta Racing,1:40.428,10
11,4,Arvid Lindblad,Campos Racing,1:40.500,11
12,7,Luke Browning,HitechTGR,1:40.735,12
13,22,Sami Meguetounif,Trident,1:40.835,13
14,23,Max Esterson,Trident,1:40.942,14
15,25,Rafael Villagómez,Van Amersfoort Racing,1:40.996,15
16,10,Gabriele Minì,Prema Racing,1:41.068,16
17,24,John Bennett,Van Amersfoort Racing,1:41.180,17
18,5,Oliver Goethe,MP Motorsport,1:41.211,18
19,3,Pepe Martí,Campos Racing,1:41.333,19
20,21,Cian Shields,AIX Racing,1:41.987,20
—,16,Amaury Cordeel,Rodin Motorsport,2:18.828,22
—,15,Ritomo Miyata,ART Grand Prix,No time,21
