Team,No.,Drivers,Rounds
RT Russian Time[15],1,Mitch Evans[16],All
RT Russian Time[15],2,Artem Markelov[16],All
Carlin[15],3,Felipe Nasr[17],All
Carlin[15],4,Julián Leal[18],All
Racing Engineering[15],5,Raffaele Marciello[19],All
Racing Engineering[15],6,Stefano Coletti[20],All
DAMS[15],7,Jolyon Palmer[21],All
DAMS[15],8,Stéphane Richelmi[21],All
ART Grand Prix[15],9,Takuya Izawa[22],All
ART Grand Prix[15],10,Stoffel Vandoorne[22],All
Hilmer Motorsport[15],11,Daniel Abt[23],1–10
Hilmer Motorsport[15],Nicholas Latifi[24],11,
Hilmer Motorsport[15],12,Facu Regalia[25],1–4
Hilmer Motorsport[15],Jon Lancaster[26],5–11,
Rapax[15],14,Adrian Quaife-Hobbs[27],1–9
Rapax[15],Tio Ellinas[28],10,
Rapax[15],Kevin Giovesi[29],11,
Rapax[15],15,Simon Trummer[30],All
Arden International[15],16,René Binder[31],All
Arden International[15],17,André Negrão[32],"1, 3–11"
Arden International[15],Tom Dillmann[33],2,
EQ8 Caterham Racing(1–8)Caterham Racing(9–11)[34],18,Rio Haryanto[35],All
EQ8 Caterham Racing(1–8)Caterham Racing(9–11)[34],19,Alexander Rossi[35],1–5
EQ8 Caterham Racing(1–8)Caterham Racing(9–11)[34],Tom Dillmann[36],6–8,
EQ8 Caterham Racing(1–8)Caterham Racing(9–11)[34],Pierre Gasly[37],9–11,
MP Motorsport[15],20,Daniël de Jong[38],All
MP Motorsport[15],21,Jon Lancaster[39],1
MP Motorsport[15],Tio Ellinas[40],2–4,
MP Motorsport[15],Marco Sørensen[41],5–11,
Trident[15],22,Axcil Jefferies[42],1
Trident[15],Sergio Canamasas[40],2–11,
Trident[15],23,Johnny Cecotto Jr.[43][a],All
Venezuela GP Lazarus[15][b],24,Nathanaël Berthon[44],All
Venezuela GP Lazarus[15][b],25,Conor Daly[39],"1–8, 11"
Venezuela GP Lazarus[15][b],Sergio Campana[45],9–10,
Campos Racing[15],26,Arthur Pic[46],All
Campos Racing[15],27,Kimiya Sato[47],"1–5, 7–11"
