Pos.,No.,Driver,Team,Time,Grid
1,3,Charles Pic,Barwa Addax Team,1:32.349,1
2,19,Luca Filippi,Scuderia Coloni,1:32.460,2
3,1,Fabio Leimer,Rapax,1:32.485,3
4,25,Álvaro Parente,Carlin,1:32.600,4
5,11,Romain Grosjean,DAMS,1:32.630,5
6,7,Dani Clos,Racing Engineering,1:32.684,6
7,8,Christian Vietoris,Racing Engineering,1:32.727,7
8,17,Adam Carroll,Super Nova Racing,1:32.761,8
9,9,Sam Bird,iSport International,1:32.801,9
10,24,Max Chilton,Carlin,1:32.811,10
11,15,Jolyon Palmer,Arden International,1:32.848,11
12,14,Josef Král,Arden International,1:32.858,12
13,18,Michael Herck,Scuderia Coloni,1:32.865,13
14,27,Davide Valsecchi,CaterhamTeam AirAsia,1:33.019,14
15,10,Marcus Ericsson,iSport International,1:33.121,15
16,20,Rodolfo González,Trident Racing,1:33.129,16
17,22,Brendon Hartley,Ocean Racing Technology,1:33.183,17
18,26,Luiz Razia,CaterhamTeam AirAsia,1:33.206,18
19,5,Jules Bianchi,LotusART,1:33.293,19
20,4,Giedo van der Garde,Barwa Addax Team,1:33.297,20
21,16,Fairuz Fauzy,Super Nova Racing,1:33.452,21
22,23,Johnny Cecotto Jr.,Ocean Racing Technology,1:33.571,22
23,2,Julián Leal,Rapax,1:33.646,23
24,21,Stéphane Richelmi,Trident Racing,1:34.150,24
25,6,Esteban Gutiérrez,LotusART,1:35.228,25
26,12,Pål Varhaug,DAMS,1:39.190,26
