Pos.,No.,Driver,Team,Time,Grid
1,11,Romain Grosjean,DAMS,1:34.398,1
2,9,Sam Bird,iSport International,1:34.483,2
3,17,Luca Filippi,Super Nova Racing,1:34.709,3
4,5,Jules Bianchi,LotusART,1:34.784,4
5,7,Dani Clos,Racing Engineering,1:34.797,5
6,26,Luiz Razia,Team AirAsia,1:34.888,6
7,3,Charles Pic,Barwa Addax Team,1:34.954,7
8,27,Davide Valsecchi,Team AirAsia,1:34.975,18
9,8,Christian Vietoris,Racing Engineering,1:34.981,8
10,14,Josef Král,Arden International,1:35.050,9
11,24,Max Chilton,Carlin,1:35.110,10
12,4,Giedo van der Garde,Barwa Addax Team,1:35.140,11
13,15,Jolyon Palmer,Arden International,1:35.159,12
14,1,Fabio Leimer,Rapax,1:35.164,13
15,21,Stefano Coletti,Trident Racing,1:35.182,14
16,23,Johnny Cecotto Jr.,Ocean Racing Technology,1:35.360,15
17,19,Davide Rigon,Scuderia Coloni,1:35.369,16
18,10,Marcus Ericsson,iSport International,1:35.375,17
19,16,Fairuz Fauzy,Super Nova Racing,1:35.428,19
20,18,Michael Herck,Scuderia Coloni,1:35.545,20
21,12,Pål Varhaug,DAMS,1:35.681,21
22,22,Kevin Mirocha,Ocean Racing Technology,1:35.825,22
23,25,Mikhail Aleshin,Carlin,1:35.873,
24,6,Esteban Gutiérrez,LotusART,1:35.973,23
25,2,Julián Leal,Rapax,1:36.168,24
26,20,Rodolfo González,Trident Racing,1:36.187,25
