Entrant,No.,Driver name,Rounds
Prema Racing,1,Dennis Hauger,All
Prema Racing,2,Jehan Daruvala,All
Virtuosi Racing,3,Jack Doohan,All
Virtuosi Racing,4,Marino Sato,All
Carlin,5,Liam Lawson,All
Carlin,6,Logan Sargeant,All
Hitech Grand Prix,7,Marcus Armstrong,All
Hitech Grand Prix,8,Jüri Vips,All
ART Grand Prix,9,Frederik Vesti,All
ART Grand Prix,10,Théo Pourchaire,All
MP Motorsport,11,Felipe Drugovich,All
MP Motorsport,12,Clément Novalak,All
Campos Racing,14,Olli Caldwell,"1–10, 12–14"
Campos Racing,14,Lirim Zendeli,11
Campos Racing,15,Ralph Boschung,"1–7, 11–14"
Campos Racing,15,Roberto Merhi,8–10
DAMS,16,Roy Nissany,"1–12, 14"
DAMS,16,Luca Ghiotto,13
DAMS,17,Ayumu Iwasa,All
Trident,20,Richard Verschoor,All
Trident,21,Calan Williams,1–13
Trident,21,Zane Maloney,14
Charouz Racing System,22,Enzo Fittipaldi,All
Charouz Racing System,23,Cem Bölükbaşı,"1–2, 4–10"
Charouz Racing System,23,David Beckmann,3
Charouz Racing System,23,Tatiana Calderón,11–14
Van Amersfoort Racing,24,Jake Hughes,1–8
Van Amersfoort Racing,24,David Beckmann,9–13
Van Amersfoort Racing,24,Juan Manuel Correa,14
Van Amersfoort Racing,25,Amaury Cordeel,"1–6, 8–14"
Van Amersfoort Racing,25,David Beckmann,7
