Team,Chassis[N 1],Engine,No.,Driver,Status,Rounds
Prema Powerteam,F314/003,Mercedes,1,Nicholas Latifi[N 2],,1–10
Prema Powerteam,F312/015,Mercedes,2,Esteban Ocon,R,All
Prema Powerteam,F312/030,Mercedes,25,Antonio Fuoco[N 3],R,All
Prema Powerteam,F312/005,Mercedes,26,Dennis van de Laar[N 4],,All
Mücke Motorsport,F312/019,Mercedes,3,Lucas Auer,,All
Mücke Motorsport,F312/023,Mercedes,4,Roy Nissany[N 4],,All
Mücke Motorsport,F312/020,Mercedes,27,Felix Rosenqvist,,All
Carlin,F312/004,Volkswagen,5,Jordan King,,All
Carlin,F312/016,Volkswagen,6,Ed Jones[N 5],,"1–3, 8–11"
Carlin,F312/001,Volkswagen,28,Jake Dennis[N 6],R,All
EuroInternational,F312/053,Mercedes,7,Riccardo Agostini,,1–3
EuroInternational,F312/003,Mercedes,8,Michele Beretta,R,All
EuroInternational,F312/053,Mercedes,29,Santino Ferrucci,R,5–9
EuroInternational,F312/053,Mercedes,29,Sérgio Sette Câmara[N 7],,10
EuroInternational,F312/053,Mercedes,29,Stefano Coletti[N 7],,11
Fortec Motorsports,F312/011,Mercedes,9,Mitch Gilbert,,1–6
Fortec Motorsports,F312/011,Mercedes,9,Alfonso Celis,,8
Fortec Motorsports,F312/011,Mercedes,9,Martin Cao,,10
Fortec Motorsports,F312/007,Mercedes,10,John Bryant-Meisner,,"1–6, 8"
Fortec Motorsports,F312/007,Mercedes,10,Santino Ferrucci,R,10–11
ThreeBond Racingwith T-Sport,F312/049,NBE,11,Richard Goddard,,"1–6, 8–11"
ThreeBond Racingwith T-Sport,F312/008,NBE,12,Alexander Toril,,"1–6, 8–11"
ThreeBond Racingwith T-Sport,F314/019,NBE,32,Nick Cassidy[N 7],,10–11
Double R Racing,F313/001,Mercedes,14,Felipe Guimarães,,1–6
Van Amersfoort Racing,F312/051,Volkswagen,15,Jules Szymkowiak[N 8],R,All
Van Amersfoort Racing,F312/052,Volkswagen,16,Gustavo Menezes[N 3],,All
Van Amersfoort Racing,F314/009,Volkswagen,30,Max Verstappen,R,All
Jo Zeller Racing,F312/039,Mercedes,17,Sandro Zeller,,"2, 4–6, 8–11"
Jo Zeller Racing,F312/044,Mercedes,18,Tatiana Calderón,,All
Jagonya Ayam with Carlin,F314/020,Volkswagen,19,Antonio Giovinazzi,,All
Jagonya Ayam with Carlin,F312/002,Volkswagen,20,Sean Gelael[N 4],,All
Jagonya Ayam with Carlin,F312/010,Volkswagen,31,Tom Blomqvist,,All
Team West-Tec F3,F314/007,Mercedes,21,Félix Serrallés,,All
Team West-Tec F3,F312/011,Mercedes,22,Hector Hurst,,1–8
Team West-Tec F3,F312/011,Mercedes,22,Wing Chung Chang,,9–11
Signature,F314/005,Volkswagen,23,William Buller[N 7],,10
