Team,No.,Driver,Rounds
ART Grand Prix,1,Conor Daly,All
ART Grand Prix,2,Facu Regalia,All
ART Grand Prix,3,Jack Harvey,All
MW Arden,4,Carlos Sainz Jr.,All
MW Arden,5,Robert Vișoiu,All
MW Arden,6,Daniil Kvyat,All
Carlin,7,Luís Sá Silva,All
Carlin,8,Nick Yelloly,All
Carlin,9,Eric Lichtenstein,1–5
Carlin,9,Alexander Sims,6–8
Jenzer Motorsport,10,Samin Gómez,All
Jenzer Motorsport,11,Patric Niederhauser,All
Jenzer Motorsport,12,Alex Fontana,All
Marussia Manor Racing,14,Tio Ellinas,All
Marussia Manor Racing,15,Ryan Cullen,All
Marussia Manor Racing,16,Dino Zamparelli,All
Status Grand Prix,17,Jimmy Eriksson,All
Status Grand Prix,18,Adderly Fong,"1–3, 5–8"
Status Grand Prix,18,Alexander Sims,4
Status Grand Prix,19,Josh Webster,All
Bamboo Engineering,20,Lewis Williamson,1–7
Bamboo Engineering,21,Melville McKee,1–7
Bamboo Engineering,21,Alice Powell,8
Bamboo Engineering,22,Carmen Jordá,All
Trident,23,Giovanni Venturini,All
Trident,24,David Fumanelli,1–7
Trident,24,Robert Cregan,8
Trident,25,Emanuele Zonzini,All
Koiranen GP,26,Patrick Kujala,All
Koiranen GP,27,Aaro Vainio,1–7
Koiranen GP,27,Dean Stoneman,8
Koiranen GP,28,Kevin Korjus,All
