Team,No.,Driver,Rounds
Prema Racing,1,Charles Leclerc,All
Prema Racing,2,Antonio Fuoco,All
Racing Engineering,3,Louis Delétraz,1–7
Racing Engineering,3,Nyck de Vries,8–11
Racing Engineering,4,Gustav Malja,All
Russian Time,5,Luca Ghiotto,All
Russian Time,6,Artem Markelov,All
ART Grand Prix,7,Nobuharu Matsushita,All
ART Grand Prix,8,Alexander Albon,"1–3, 5–11"
ART Grand Prix,8,Sergey Sirotkin,4
DAMS,9,Oliver Rowland,All
DAMS,10,Nicholas Latifi,All
Campos Racing,11,Ralph Boschung,1–10
Campos Racing,11,Lando Norris,11
Campos Racing,12,Stefano Coletti,1
Campos Racing,12,Roberto Merhi,2
Campos Racing,12,Robert Vișoiu,3–9
Campos Racing,12,Álex Palou,10–11
MP Motorsport,14,Sérgio Sette Câmara,All
MP Motorsport,15,Jordan King,All
Trident,16,Nabil Jeffri,All
Trident,17,Sergio Canamasas,1–4
Trident,17,Raffaele Marciello,5
Trident,17,Callum Ilott,6
Trident,17,Santino Ferrucci,7–11
Rapax,18,Nyck de Vries,1–7
Rapax,18,Louis Delétraz,8–11
Rapax,19,Johnny Cecotto Jr.,1–4
Rapax,19,Sergio Canamasas,5–7
Rapax,19,Roberto Merhi,"8–9, 11"
Rapax,19,René Binder,10
Pertamina Arden,20,Norman Nato,All
Pertamina Arden,21,Sean Gelael,All
