Team,No.,Driver,Rounds
Prema Racing,1,Dennis Hauger,All
Prema Racing,2,Arthur Leclerc,All
Prema Racing,3,Olli Caldwell,All
Trident,4,Jack Doohan,All
Trident,5,Clément Novalak,All
Trident,6,David Schumacher,All
ART Grand Prix,7,Frederik Vesti,All
ART Grand Prix,8,Alexander Smolyar,All
ART Grand Prix,9,Juan Manuel Correa,All
Hitech Grand Prix,10,Jak Crawford,All
Hitech Grand Prix,11,Ayumu Iwasa,All
Hitech Grand Prix,12,Roman Staněk,All
HWA Racelab,14,Matteo Nannini,All
HWA Racelab,15,Oliver Rasmussen,All
HWA Racelab,16,Rafael Villagómez,All
MP Motorsport,17,Victor Martins,All
MP Motorsport,18,Caio Collet,All
MP Motorsport,19,Tijmen van der Helm,All
Campos Racing,20,László Tóth,"1, 3–7"
Campos Racing,20,Pierre-Louis Chovet,2
Campos Racing,21,Lorenzo Colombo,All
Campos Racing,22,Amaury Cordeel,All
Carlin Buzz Racing,23,Ido Cohen,All
Carlin Buzz Racing,24,Kaylen Frederick,"1–3, 6–7"
Carlin Buzz Racing,24,Jake Hughes,4
Carlin Buzz Racing,25,Jonny Edgar,All
Jenzer Motorsport,26,Calan Williams,All
Jenzer Motorsport,27,Pierre-Louis Chovet,1
Jenzer Motorsport,27,Johnathan Hoggard,2–7
Jenzer Motorsport,28,Filip Ugran,All
Charouz Racing System,29,Logan Sargeant,All
Charouz Racing System,30,Enzo Fittipaldi,1–4
Charouz Racing System,30,Hunter Yeany,5–6
Charouz Racing System,30,Ayrton Simmons,7
Charouz Racing System,31,Reshad de Gerus,1–4
Charouz Racing System,31,Zdeněk Chovanec,5–7
