Pos.,No.,Driver,Team,Time,Gap,Grid
1,1,Charles Leclerc,ART Grand Prix,1:19.041,,1
2,3,Alexander Albon,ART Grand Prix,1:19.567,+0.526,2
3,4,Nyck de Vries,ART Grand Prix,1:19.734,+0.693,3
4,17,Ralph Boschung,Koiranen GP,1:19.775,+0.734,4
5,2,Nirei Fukuzumi,ART Grand Prix,1:19.842,+0.801,5
6,14,Matt Parry,Koiranen GP,1:19.868,+0.827,6
7,20,Óscar Tunjo,Jenzer Motorsport,1:19.878,+0.837,7
8,9,Jake Dennis,Arden International,1:19.917,+0.876,8
9,27,Jake Hughes,DAMS,1:19.925,+0.884,9
10,26,Santino Ferrucci,DAMS,1:19.980,+0.939,10
11,5,Antonio Fuoco,Trident,1:20.080,+1.039,11
12,8,Sandy Stuvik,Trident,1:20.102,+1.061,12
13,10,Tatiana Calderón,Arden International,1:20.104,+1.063,13
14,6,Artur Janosz,Trident,1:20.126,+1.085,14
15,11,Jack Aitken,Arden International,1:20.227,+1.186,15
16,16,Matevos Isaakyan,Koiranen GP,1:20.294,+1.253,16
17,22,Álex Palou,Campos Racing,1:20.309,+1.268,17
18,23,Steijn Schothorst,Campos Racing,1:20.378,+1.337,18
19,28,Kevin Jörg,DAMS,1:20.429,+1.388,19
20,19,Richard Gonda,Jenzer Motorsport,1:20.579,+1.538,20
21,18,Akash Nandy,Jenzer Motorsport,1:20.593,+1.552,21
22,24,Konstantin Tereshchenko,Campos Racing,1:20.651,+1.610,22
