Pos.,No.,Driver,Team,Time,Gap,Grid
1,1,Charles Leclerc,ART Grand Prix,1:38.546,–,1
2,9,Jake Dennis,Arden International,1:38.712,+0.166,2
3,11,Jack Aitken,Arden International,1:38.729,+0.183,3
4,3,Alexander Albon,ART Grand Prix,1:38.847,+0.301,4
5,27,Jake Hughes,DAMS,1:38.850,+0.304,5
6,28,Kevin Jörg,DAMS,1:38.872,+0.326,6
7,2,Nirei Fukuzumi,ART Grand Prix,1:38.878,+0.332,7
8,5,Antonio Fuoco,Trident,1:38.879,+0.333,8
9,4,Nyck de Vries,ART Grand Prix,1:38.885,+0.339,9
10,17,Ralph Boschung,Koiranen GP,1:38.945,+0.399,10
11,22,Álex Palou,Campos Racing,1:39.045,+0.499,11
12,8,Sandy Stuvik,Trident,1:39.084,+0.538,12
13,16,Matevos Isaakyan,Koiranen GP,1:39.255,+0.709,13
14,26,Santino Ferrucci,DAMS,1:39.268,+0.722,14
15,10,Tatiana Calderón,Arden International,1:39.286,+0.740,15
16,7,Giuliano Alesi,Trident,1:39.377,+0.831,16
17,14,Matt Parry,Koiranen GP,1:39.430,+0.884,17
18,23,Steijn Schothorst,Campos Racing,1:39.439,+0.893,18
19,20,Arjun Maini,Jenzer Motorsport,1:39.535,+0.989,19
20,18,Akash Nandy,Jenzer Motorsport,1:39.558,+1.012,20
21,6,Artur Janosz,Trident,1:39.869,+1.323,PL1
22,24,Konstantin Tereshchenko,Campos Racing,1:40.216,+1.670,21
