Pos.,No.,Driver,Team,Time,Grid
1,27,Jake Hughes,DAMS,1:34.632,1
2,28,Kevin Jörg,DAMS,1:34.772,2
3,1,Charles Leclerc,ART Grand Prix,1:34.949,3
4,2,Nirei Fukuzumi,ART Grand Prix,1:35.048,4
5,9,Jake Dennis,Arden International,1:35.117,5
6,20,Óscar Tunjo,Jenzer Motorsport,1:35.160,6
7,5,Antonio Fuoco,Trident,1:35.201,7
8,3,Alexander Albon,ART Grand Prix,1:35.207,8
9,17,Ralph Boschung,Koiranen GP,1:35.344,9
10,11,Jack Aitken,Arden International,1:35.415,10
11,4,Nyck de Vries,ART Grand Prix,1:35.463,11
12,10,Tatiana Calderón,Arden International,1:35.469,12
13,19,Richard Gonda,Jenzer Motorsport,1:35.594,13
14,23,Steijn Schothorst,Campos Racing,1:35.598,14
15,7,Giuliano Alesi,Trident,1:35.656,PL1
16,16,Matevos Isaakyan,Koiranen GP,1:35.693,15
17,14,Matt Parry,Koiranen GP,1:35.746,19
18,26,Santino Ferrucci,DAMS,1:35.792,16
19,24,Konstantin Tereshchenko,Campos Racing,1:36.070,17
20,18,Akash Nandy,Jenzer Motorsport,1:36.157,18
21,6,Artur Janosz,Trident,1:36.215,20
22,8,Sandy Stuvik,Trident,1:36.282,21
23,15,Mahaveer Raghunathan,Koiranen GP,1:37.222,22
24,22,Álex Palou,Campos Racing,1:37.248,23
