Pos.,No.,Driver,Team,Time,Grid
1,3,Aaro Vainio,Lotus GP,1:36.052,1
2,27,António Félix da Costa,Carlin,1:36.301,2
3,4,Mitch Evans,MWArden,1:36.381,3
4,14,Marlon Stöckinger,Status Grand Prix,1:36.478,4
5,5,David Fumanelli,MWArden,1:36.541,5
6,1,Daniel Abt,Lotus GP,1:36.569,6
7,2,Conor Daly,Lotus GP,1:36.783,7
8,18,Kevin Ceccon,Ocean Racing Technology,1:36.807,8
9,6,Matias Laine,MWArden,1:36.866,9
10,21,Patric Niederhauser,Jenzer Motorsport,1:36.867,10
11,20,Robert Visoiu,Jenzer Motorsport,1:36.967,11
12,28,William Buller,Carlin,1:37.065,12
13,15,Lewis Williamson,Status Grand Prix,1:37.066,13
14,25,Giovanni Venturini,Trident Racing,1:37.264,14
15,9,Tio Ellinas,MarussiaManor Racing,1:37.282,15
16,26,Alex Brundle,Carlin,1:37.612,16
17,30,Facu Regalia,AtechCRS Grand Prix,1:37.625,17
18,22,Alex Fontana,Jenzer Motorsport,1:37.661,18
19,16,Alice Powell,Status Grand Prix,1:37.730,19
20,29,Tamás Pál Kiss,AtechCRS Grand Prix,1:37.882,20
21,7,Dmitry Suranovich,MarussiaManor Racing,1:38.528,21
22,19,Robert Cregan,Ocean Racing Technology,1:38.560,22
23,8,Fabiano Machado,MarussiaManors Racing,1:38.671,23
24,31,Ethan Ringel,AtechCRS Grand Prix,1:38.706,24
25,23,Vicky Piria,Trident Racing,1:38.974,25
26,17,Carmen Jordá,Ocean Racing Technology,1:41.809,26
