Pos.,No.,Driver,Team,Time,Grid
1,4,Mitch Evans,MWArden,2:10.513,1
2,6,Matias Laine,MWArden,2:10.738,2
3,1,Daniel Abt,Lotus GP,2:10.754,3
4,27,António Félix da Costa,Carlin,2:10.980,4
5,2,Conor Daly,Lotus GP,2:11.064,5
6,15,Lewis Williamson,Status Grand Prix,2:11.320,6
7,3,Aaro Vainio,Lotus GP,2:11.366,7
8,25,Giovanni Venturini,Trident Racing,2:11.382,8
9,22,Alex Fontana,Jenzer Motorsport,2:11.397,9
10,9,Tio Ellinas,MarussiaManor Racing,2:11.501,10
11,14,Marlon Stöckinger,Status Grand Prix,2:11.541,11
12,21,Patric Niederhauser,Jenzer Motorsport,2:11.637,12
13,23,Vicky Piria,Trident Racing,2:11.723,13
14,28,William Buller,Carlin,2:11.742,14
15,18,Kevin Ceccon,Ocean Racing Technology,2:11.746,15
16,5,David Fumanelli,MWArden,2:11.804,16
17,26,Alex Brundle,Carlin,2:12.224,17
18,20,Robert Visoiu,Jenzer Motorsport,2:12.410,18
19,29,Tamás Pál Kiss,AtechCRS Grand Prix,2:12.508,19
20,16,Alice Powell,Status Grand Prix,2:12.530,20
21,19,Robert Cregan,Ocean Racing Technology,2:12.765,21
22,7,Dmitry Suranovich,MarussiaManor Racing,2:12.886,22
23,8,Fabiano Machado,MarussiaManor Racing,2:12.917,23
24,31,Ethan Ringel,AtechCRS Grand Prix,2:12.713,24
25,30,John Wartique,AtechCRS Grand Prix,2:13.478,25
26,17,Carmen Jordá,Ocean Racing Technology,2:18.719,26
