Pos.,No.,Driver,Team,Time,Grid
1,1,Daniel Abt,Lotus GP,1:31.961,1
2,4,Mitch Evans,MWArden,1:32.191,2
3,2,Conor Daly,Lotus GP,1:32.267,3
4,3,Aaro Vainio,Lotus GP,1:32.551,4
5,27,António Félix da Costa,Carlin,1:32.564,5
6,5,David Fumanelli,MWArden,1:32.658,6
7,21,Patric Niederhauser,Jenzer Motorsport,1:32.689,7
8,14,Marlon Stöckinger,Status Grand Prix,1:32.773,8
9,18,Kevin Ceccon,Ocean Racing Technology,1:33.010,9
10,25,Giovanni Venturini,Trident Racing,1:33.079,10
11,6,Matias Laine,MWArden,1:33.079,11
12,26,Alex Brundle,Carlin,1:33.089,12
13,28,William Buller,Carlin,1:33.115,13
14,20,Robert Visoiu,Jenzer Motorsport,133.133,14
15,15,Lewis Williamson,Status Grand Prix,1:33.263,15
16,29,Tamás Pál Kiss,AtechCRS Grand Prix,1:33.347,16
17,16,Alice Powell,Status Grand Prix,1:33.583,17
18,31,Ethan Ringel,AtechCRS Grand Prix,1:34.035,18
19,19,Robert Cregan,Ocean Racing Technology,1:34.258,19
20,8,Fabiano Machado,MarussiaManor Racing,1:34.270,20
21,23,Vicky Piria,Trident Racing,1:34.756,21
22,17,Carmen Jordá,Ocean Racing Technology,1:36.073,22
DQ,9,Tio Ellinas,MarussiaManor Racing,1:32.381,23
DQ,7,Dmitry Suranovich,MarussiaManor Racing,1:33.861,24
