Pos.,No.,Driver,Team,Time,Grid
1,4,Mitch Evans,MWArden,1:43.542,1
2,27,António Félix da Costa,Carlin,1:43.562,2
3,5,David Fumanelli,MWArden,1:43.897,3
4,6,Matias Laine,MWArden,1:43.903,4
5,9,Tio Ellinas,MarussiaManor Racing,1:44.105,5
6,29,Tamás Pál Kiss,AtechCRS Grand Prix,1:44.186,16
7,28,William Buller,Carlin,1:44.273,6
8,1,Daniel Abt,Lotus GP,1:44.371,7
9,2,Conor Daly,Lotus GP,1:44.433,8
10,21,Patric Niederhauser,Jenzer Motorsport,1:44.452,9
11,25,Giovanni Venturini,Trident Racing,1:44.516,10
12,20,Robert Visoiu,Jenzer Motorsport,1:44.600,11
13,3,Aaro Vainio,Lotus GP,1:44.668,12
14,7,Dmitry Suranovich,MarussiaManor Racing,1:44.860,13
15,19,Robert Cregan,Ocean Racing Technology,1:44.903,14
16,14,Marlon Stöckinger,Status Grand Prix,1:44.943,15
17,15,Lewis Williamson,Status Grand Prix,1:44.960,17
18,8,Fabiano Machado,MarussiaManor Racing,1:45.030,18
19,26,Alex Brundle,Carlin Motorsport,1:45.056,19
20,30,John Wartique,AtechCRS Grand Prix,1:45.165,20
21,18,Kevin Ceccon,Ocean Racing Technology,1:45.213,25
22,16,Alice Powell,Status Grand Prix,1:45.303,21
23,23,Vicky Piria,Trident Racing,1:45.659,22
24,31,Ethan Ringel,AtechCRS Grand Prix,1:46.911,23
25,17,Carmen Jordá,Ocean Racing Technology,1:49.400,24
