Pos.,No.,Driver,Team,Time,Grid
1,27,António Félix da Costa,Carlin,1:38.642,1
2,2,Conor Daly,Lotus GP,1:38.720,2
3,3,Aaro Vainio,Lotus GP,1:38.732,3
4,4,Mitch Evans,MWArden,1:38.835,4
5,14,Marlon Stöckinger,Status Grand Prix,1:38.867,5
6,9,Tio Ellinas,MarussiaManor Racing,1:38.894,16
7,1,Daniel Abt,Lotus GP,1:38.945,6
8,21,Patric Niederhauser,Jenzer Motorsport,1:38.988,7
9,6,Matias Laine,MWArden,1:39.151,8
10,7,Dmitry Suranovich,MarussiaManor Racing,1:39.164,9
11,5,David Fumanelli,MWArden,1:39.175,10
12,29,Tamás Pál Kiss,AtechCRS Grand Prix,1:39.201,11
13,26,Alex Brundle,Carlin,1:39.228,12
14,28,William Buller,Carlin,1:39.512,13
15,20,Robert Visoiu,Jenzer Motorsport,1:39.553,14
16,15,Kotaro Sakurai,Status Grand Prix,1:39.701,15
17,24,Antonio Spavone,Trident Racing,1:39.932,17
18,16,Alice Powell,Status Grand Prix,1:40.002,18
19,8,Fabiano Machado,MarussiaManor Racing,1:40.278,19
20,30,John Wartique,AtechCRS Grand Prix,1:40.578,20
21,31,Ethan Ringel,AtechCRS Grand Prix,1:40.640,21
22,22,Jakub Klášterka,Jenzer Motorsport,1:41.053,22
23,19,Robert Cregan,Ocean Racing Technology,1:41.112,23
24,18,Carmen Jordá,Ocean Racing Technology,1:42.066,24
25,23,Vicky Piria,Trident Racing,1:43.509,25
26,17,Kevin Ceccon,Ocean Racing Technology,no time,26
