Team,No.,Driver name,Rounds
ART Grand Prix,1,Jack Aitken[3],All
ART Grand Prix,2,Nirei Fukuzumi[4],All
ART Grand Prix,3,George Russell[5],All
ART Grand Prix,4,Anthoine Hubert[6],All
Arden International,5,Niko Kari[7],All
Arden International,6,Leonardo Pulcini[8],All
Arden International,7,Steijn Schothorst[8],All
Trident,9,Kevin Jörg[9],All
Trident,10,Giuliano Alesi[10],All
Trident,11,Ryan Tveter[11],All
Trident,12,Dorian Boccolacci[11],All
DAMS,14,Santino Ferrucci[12],1–3
DAMS,Matthieu Vaxivière[13],4–5,
DAMS,Dan Ticktum[14],6–8,
DAMS,15,Tatiana Calderón[12],All
DAMS,16,Bruno Baptista[12],All
Jenzer Motorsport,22,Alessio Lorandi[15],All
Jenzer Motorsport,23,Juan Manuel Correa[a][16],5–8
Jenzer Motorsport,24,Arjun Maini[17],All
Campos Racing,26,Julien Falchero[18],All
Campos Racing,27,Raoul Hyman[19],All
Campos Racing,28,Marcos Siebert[19],All
