Pos.,No.,Driver,Team,Time,Grid
1,2,Nobuharu Matsushita,Carlin,1:54.555,1
2,4,Nyck de Vries,ART Grand Prix,1:54.999,2
3,8,Luca Ghiotto,UNI-Virtuosi,1:55.037,3
4,5,Sérgio Sette Câmara,DAMS,1:55.677,4
5,16,Jordan King,MP Motorsport,1:55.704,5
6,9,Mick Schumacher,Prema Racing,1:55.797,6
7,6,Nicholas Latifi,DAMS,1:55.835,7
8,15,Jack Aitken,Campos Racing,1:55.949,8
9,19,Anthoine Hubert,BWT Arden,1:56.138,9
10,21,Ralph Boschung,Trident,1:56.153,10
11,11,Callum Ilott,Sauber Junior Team by Charouz,1:56.215,11
12,1,Louis Delétraz,Carlin,1:56.326,12
13,7,Guanyu Zhou,UNI-Virtuosi,1:56.454,13
14,20,Giuliano Alesi,Trident,1:56.555,14
15,3,Nikita Mazepin,ART Grand Prix,1:56.568,15
16,14,Dorian Boccolacci,Campos Racing,1:56.653,16
17,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:56.936,17
18,18,Tatiana Calderón,BWT Arden,1:58.164,18
19,17,Mahaveer Raghunathan,MP Motorsport,2:00.747,PL
—,10,Sean Gelael,Prema Racing,no time,19
