Pos.,No.,Driver,Team,Time,Grid
1,4,Nyck de Vries,ART Grand Prix,1:20.676,1
2,11,Callum Ilott,Sauber Junior Team by Charouz,1:21.462,2
3,8,Luca Ghiotto,UNI-Virtuosi,1:20.924,3
4,9,Mick Schumacher,Prema Racing,1:21.469,4
5,6,Nicholas Latifi,DAMS,1:21.130,8
6,5,Sérgio Sette Câmara,DAMS,1:21.537,5
7,10,Sean Gelael,Prema Racing,1:21.598,6
8,19,Anthoine Hubert,BWT Arden,1:21.675,7
9,2,Nobuharu Matsushita,Carlin,1:21.807,9
10,1,Louis Delétraz,Carlin,1:21.936,10
11,16,Artem Markelov,MP Motorsport,1:22.086,11
12,3,Nikita Mazepin,ART Grand Prix,1:22.089,12
13,14,Dorian Boccolacci,Campos Racing,1:22.290,13
14,21,Ralph Boschung,Trident,1:22.233,14
15,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:22.437,15
16,7,Guanyu Zhou,UNI-Virtuosi,1:22.772,16
17,20,Giuliano Alesi,Trident,1:22.785,17
18,15,Jack Aitken,Campos Racing,1:22.877,18
19,18,Tatiana Calderón,BWT Arden,1:24.791,19
20,17,Mahaveer Raghunathan,MP Motorsport,1:26.522,20
