Pos.,No.,Driver,Team,Time,Grid
1,5,Sérgio Sette Câmara,DAMS,1:43.024,1
2,7,Guanyu Zhou,UNI-Virtuosi,1:43.344,2
3,15,Jack Aitken,Campos Racing,1:43.401,3
4,4,Nyck de Vries,ART Grand Prix,1:43.453,4
5,11,Callum Ilott,Sauber Junior Team by Charouz,1:43.565,5
6,6,Nicholas Latifi,DAMS,1:43.650,6
7,2,Nobuharu Matsushita,Carlin,1:43.763,7
8,9,Mick Schumacher,Prema Racing,1:43.768,8
9,10,Dorian Boccolacci,Campos Racing,1:43.812,9
10,10,Sean Gelael,Prema Racing,1:43.895,10
11,8,Luca Ghiotto,UNI-Virtuosi,1:43.983,14
12,1,Louis Delétraz,Carlin,1:44.025,11
13,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:44.120,12
14,21,Ralph Boschung,Trident,1:44.371,13
15,19,Anthoine Hubert,BWT Arden,1:44.612,15
16,16,Jordan King,MP Motorsport,1:44.882,16
17,18,Tatiana Calderón,BWT Arden,1:47.006,17
18,17,Mahaveer Raghunathan,MP Motorsport,1:48.374,18
—,20,Giuliano Alesi,Trident,no time,PL
—,3,Nikita Mazepin,ART Grand Prix,no time,19
