Pos.,No.,Driver,Team,Time,Grid
1,5,Sérgio Sette Câmara,DAMS,1:49.751,1
2,11,Callum Ilott,Sauber Junior Team by Charouz,1:49.840,2
3,1,Louis Delétraz,Carlin,1:49.931,3
4,2,Nobuharu Matsushita,Carlin,1:50.157,4
5,7,Guanyu Zhou,UNI-Virtuosi Racing,1:50.190,5
6,4,Nyck de Vries,ART Grand Prix,1:50.288,6
7,6,Nicholas Latifi,DAMS,1:50.303,7
8,15,Jack Aitken,Campos Racing,1:50.520,8
9,3,Nikita Mazepin,ART Grand Prix,1:50.618,9
10,9,Mick Schumacher,Prema Racing,1:50.652,10
11,8,Luca Ghiotto,UNI-Virtuosi Racing,1:50.858,11
12,20,Giuliano Alesi,Trident,1:50.920,12
13,16,Jordan King,MP Motorsport,1:51.174,13
14,22,Artem Markelov,BWT Arden,1:51.412,14
15,12,Matevos Isaakyan,Sauber Junior Team by Charouz,1:51.522,15
16,14,Marino Sato,Campos Racing,1:51.829,16
17,10,Sean Gelael,Prema Racing,1:51.884,17
18,21,Christian Lundgaard,Trident,1:52.140,18
19,18,Tatiana Calderón,BWT Arden,1:52.412,19
20,17,Mahaveer Raghunathan,MP Motorsport,1:53.363,20
