Pos.,No.,Driver,Team,Time,Grid
1,4,Nyck de Vries,ART Grand Prix,1:58.304,1
2,5,Sérgio Sette Câmara,DAMS,1:58.576,2
3,15,Jack Aitken,Campos Racing,1:58.785,3
4,2,Nobuharu Matsushita,Carlin,1:58.832,4
5,1,Louis Delétraz,Carlin,1:58.910,5
6,9,Mick Schumacher,Prema Racing,1:59.141,6
7,3,Nikita Mazepin,ART Grand Prix,1:59.142,7
8,16,Jordan King,MP Motorsport,1:59.366,11
9,7,Guanyu Zhou,UNI-Virtuosi,1:59.425,8
10,8,Luca Ghiotto,UNI-Virtuosi,1:59.641,9
11,6,Nicholas Latifi,DAMS,1:59.717,10
12,20,Giuliano Alesi,Trident,1:59.961,12
13,19,Anthoine Hubert,BWT Arden,2:00.005,13
14,21,Ralph Boschung,Trident,2:00.030,14
15,12,Juan Manuel Correa,Sauber Junior Team by Charouz,2:00.250,15
16,10,Sean Gelael,Prema Racing,2:00.327,16
17,14,Marino Sato,Campos Racing,2:01.185,17
18,17,Mahaveer Raghunathan,MP Motorsport,2:01.226,19
19,18,Tatiana Calderón,BWT Arden,2:03.224,18
–,11,Callum Ilott,Sauber Junior Team by Charouz,no time,20
