Pos.,No.,Driver,Team,Time,Grid
1,8,Luca Ghiotto,UNI-Virtuosi,1:28.031,1
2,6,Nicholas Latifi,DAMS,1:28.212,2
3,7,Guanyu Zhou,UNI-Virtuosi,1:28.249,3
4,4,Nyck de Vries,ART Grand Prix,1:28.266,4
5,15,Jack Aitken,Campos Racing,1:28.355,8
6,11,Callum Ilott,Sauber Junior Team by Charouz,1:28.470,5
7,5,Sérgio Sette Câmara,DAMS,1:28.550,6
8,21,Ralph Boschung,Trident,1:28.580,7
9,10,Dorian Boccolacci,Campos Racing,1:28.581,12
10,9,Mick Schumacher,Prema Racing,1:28.605,9
11,2,Nobuharu Matsushita,Carlin,1:28.683,10
12,3,Nikita Mazepin,ART Grand Prix,1:28.758,11
13,10,Sean Gelael,Prema Racing,1:28.761,13
14,1,Louis Delétraz,Carlin,1:28.869,14
15,19,Anthoine Hubert,BWT Arden,1:28.980,15
16,16,Jordan King,MP Motorsport,1:29.023,16
17,20,Giuliano Alesi,Trident,1:29.346,17
18,18,Tatiana Calderón,BWT Arden,1:29.590,20
19,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:30.171,18
20,17,Mahaveer Raghunathan,MP Motorsport,1:30.691,19
