Pos.,No.,Driver,Team,Time,Grid
1,11,Callum Ilott,Sauber Junior Team by Charouz,1:33.887,1
2,7,Guanyu Zhou,UNI-Virtuosi Racing,1:34.030,2
3,3,Nikita Mazepin,ART Grand Prix,1:34.063,3
4,5,Sérgio Sette Câmara,DAMS,1:34.272,4
5,2,Nobuharu Matsushita,Carlin,1:34.419,5
6,6,Nicholas Latifi,DAMS,1:34.885,6
7,16,Jordan King,MP Motorsport,1:34.944,7
8,9,Mick Schumacher,Prema Racing,1:35.082,8
9,1,Louis Delétraz,Carlin,1:35.101,9
10,10,Sean Gelael,Prema Racing,1:35.148,10
11,20,Giuliano Alesi,Trident,1:35.310,11
12,15,Jack Aitken,Campos Racing,1:35.547,12
13,8,Luca Ghiotto,UNI-Virtuosi Racing,1:35.641,13
14,14,Marino Sato,Campos Racing,1:36.709,14
15,17,Mahaveer Raghunathan,MP Motorsport,1:37.027,15
NC,18,Tatiana Calderón,BWT Arden,1:46.667,16
EX,4,Nyck de Vries,ART Grand Prix,1:34.156,17
