Pos.,No.,Driver,Team,Time,Gap,Grid
1,2,Nobuharu Matsushita,Carlin,1:54.555,–,1
2,4,Nyck de Vries,ART Grand Prix,1:54.999,+0.444,2
3,8,Luca Ghiotto,UNI-Virtuosi,1:55.037,+0.482,3
4,5,Sérgio Sette Câmara,DAMS,1:55.677,+1.122,4
5,16,Jordan King,MP Motorsport,1:55.704,+1.149,5
6,9,Mick Schumacher,Prema Racing,1:55.797,+1.242,6
7,6,Nicholas Latifi,DAMS,1:55.835,+1.280,7
8,15,Jack Aitken,Campos Racing,1:55.949,+1.394,8
9,19,Anthoine Hubert,BWT Arden,1:56.138,+1.583,9
10,21,Ralph Boschung,Trident,1:56.153,+1.598,10
11,11,Callum Ilott,Sauber Junior Team by Charouz,1:56.215,+1.660,11
12,1,Louis Delétraz,Carlin,1:56.326,+1.771,12
13,7,Guanyu Zhou,UNI-Virtuosi,1:56.454,+1.899,13
14,20,Giuliano Alesi,Trident,1:56.555,+2.000,14
15,3,Nikita Mazepin,ART Grand Prix,1:56.568,+2.013,15
16,14,Dorian Boccolacci,Campos Racing,1:56.653,+2.098,16
17,12,Juan Manuel Correa,Sauber Junior Team by Charouz,1:56.936,+2.381,17
18,18,Tatiana Calderón,BWT Arden,1:58.164,+3.609,18
19,17,Mahaveer Raghunathan,MP Motorsport,2:00.747,+6.192,PL1
—,10,Sean Gelael,Prema Racing,no time,–,19
