Pos.,No.,Driver,Team,Time,Grid
1,11,Ayumu Iwasa,DAMS,1:45.118,1
2,5,Théo Pourchaire,ART Grand Prix,1:45.732,2
3,6,Victor Martins,ART Grand Prix,1:45.736,3
4,10,Isack Hadjar,Hitech Pulse-Eight,1:46.037,4
5,3,Zane Maloney,Rodin Carlin,1:46.045,5
6,8,Oliver Bearman,Prema Racing,1:46.058,6
7,12,Arthur Leclerc,DAMS,1:46.309,7
8,24,Kush Maini,Campos Racing,1:46.530,8
9,9,Jak Crawford,Hitech Pulse-Eight,1:46.687,9
10,1,Dennis Hauger,MP Motorsport,1:46.737,10
11,25,Ralph Boschung,Campos Racing,1:46.859,11
12,2,Jehan Daruvala,MP Motorsport,1:46.896,12
13,7,Frederik Vesti,Prema Racing,1:46.899,13
14,16,Roy Nissany,PHM RacingbyCharouz,1:47.194,14
15,14,Jack Doohan,Invicta Virtuosi Racing,1:47.266,15
16,4,Enzo Fittipaldi,Rodin Carlin,1:47.267,16
17,20,Roman Staněk,Trident,1:47.470,17
18,22,Richard Verschoor,Van Amersfoort Racing,1:47.533,18
19,21,Clément Novalak,Trident,1:47.578,19
20,23,Juan Manuel Correa,Van Amersfoort Racing,1:47.989,20
21,15,Amaury Cordeel,Invicta Virtuosi Racing,1:48.198,21
22,17,Brad Benavides,PHM RacingbyCharouz,1:50.122,22
