Pos.,No.,Driver,Team,Time,Grid
1,5,Théo Pourchaire,ART Grand Prix,1:40.903,1
2,6,Victor Martins,ART Grand Prix,1:41.654,2
3,22,Richard Verschoor,Van Amersfoort Racing,1:41.803,3
4,1,Dennis Hauger,MP Motorsport,1:41.831,4
5,7,Frederik Vesti,Prema Racing,1:41.897,5
6,24,Kush Maini,Campos Racing,1:41.927,6
7,11,Ayumu Iwasa,DAMS,1:41.934,7
8,12,Arthur Leclerc,DAMS,1:41.973,8
9,20,Roman Staněk,Trident,1:41.988,9
10,25,Ralph Boschung,Campos Racing,1:42.010,10
11,2,Jehan Daruvala,MP Motorsport,1:42.017,11
12,8,Oliver Bearman,Prema Racing,1:42.026,12
13,4,Enzo Fittipaldi,Rodin Carlin,1:42.049,13
14,10,Isack Hadjar,Hitech Pulse-Eight,1:42.092,14
15,15,Amaury Cordeel,Invicta Virtuosi Racing,1:42.092,15
16,23,Juan Manuel Correa,Van Amersfoort Racing,1:42.109,16
17,14,Jack Doohan,Invicta Virtuosi Racing,1:42.112,17
18,3,Zane Maloney,Rodin Carlin,1:42.185,18
19,9,Jak Crawford,Hitech Pulse-Eight,1:42.234,19
20,17,Brad Benavides,PHM RacingbyCharouz,1:42.493,20
21,16,Roy Nissany,PHM RacingbyCharouz,1:42.502,21
22,21,Clément Novalak,Trident,1:42.570,22
